"district","town","precinct","NA.1","NA","NA.3","NA.2","votes"
"","Addison","Addison",,"",434,"T J Donovan",
"","Orleans","Albany",,"",261,"T J Donovan",
"","Grand Isle","Alburgh",,"",544,"T J Donovan",
"","Windsor","Andover",,"",183,"T J Donovan",
"","Bennington","Arlington",,"",647,"T J Donovan",
"","Windham","Athens",,"",76,"T J Donovan",
"","Franklin","Bakersfield",,"",369,"T J Donovan",
"","Windsor","Baltimore",,"",65,"T J Donovan",
"","Windsor","Barnard",,"",327,"T J Donovan",
"","Caledonia","Barnet",,"",499,"T J Donovan",
"","Washington","Barre City",,"",2074,"T J Donovan",
"","Washington","Barre Town",,"",2528,"T J Donovan",
"","Orleans","Barton",,"",566,"T J Donovan",
"","Lamoille","Belvidere",,"",80,"T J Donovan",
"","Bennington","Bennington",,"",1585,"T J Donovan",
"","Bennington","Bennington",,"",1459,"T J Donovan",
"","Rutland","Benson",,"",265,"T J Donovan",
"","Franklin","Berkshire",,"",345,"T J Donovan",
"","Washington","Berlin",,"",874,"T J Donovan",
"","Windsor","Bethel",,"",633,"T J Donovan",
"","Essex","Bloomfield",,"",54,"T J Donovan",
"","Chittenden","Bolton",,"",474,"T J Donovan",
"","Orange","Bradford",,"",730,"T J Donovan",
"","Orange","Braintree",,"",340,"T J Donovan",
"","Rutland","Brandon",,"",1100,"T J Donovan",
"","Windham","Brattleboro",,"",1385,"T J Donovan",
"","Windham","Brattleboro",,"",1348,"T J Donovan",
"","Windham","Brattleboro",,"",1385,"T J Donovan",
"","Windsor","Bridgewater",,"",304,"T J Donovan",
"","Addison","Bridport",,"",363,"T J Donovan",
"","Essex","Brighton",,"",278,"T J Donovan",
"","Addison","Bristol",,"",1267,"T J Donovan",
"","Orange","Brookfield",,"",454,"T J Donovan",
"","Windham","Brookline",,"",175,"T J Donovan",
"","Orleans","Brownington",,"",198,"T J Donovan",
"","Essex","Brunswick",,"",29,"T J Donovan",
"","Caledonia","Burke",,"",401,"T J Donovan",
"","Chittenden","Burlington",,"",3497,"T J Donovan",
"","Chittenden","Burlington",,"",1806,"T J Donovan",
"","Chittenden","Burlington",,"",2806,"T J Donovan",
"","Chittenden","Burlington",,"",1885,"T J Donovan",
"","Chittenden","Burlington",,"",4024,"T J Donovan",
"","Chittenden","Burlington",,"",829,"T J Donovan",
"","Chittenden","Burlington",,"",94,"T J Donovan",
"","Washington","Cabot",,"",460,"T J Donovan",
"","Washington","Calais",,"",737,"T J Donovan",
"","Lamoille","Cambridge",,"",1319,"T J Donovan",
"","Essex","Canaan",,"",197,"T J Donovan",
"","Rutland","Castleton",,"",901,"T J Donovan",
"","Windsor","Cavendish",,"",350,"T J Donovan",
"","Orleans","Charleston",,"",234,"T J Donovan",
"","Chittenden","Charlotte",,"",1890,"T J Donovan",
"","Orange","Chelsea",,"",331,"T J Donovan",
"","Windsor","Chester",,"",870,"T J Donovan",
"","Rutland","Chittenden",,"",376,"T J Donovan",
"","Rutland","Clarendon",,"",622,"T J Donovan",
"","Chittenden","Colchester",,"",2347,"T J Donovan",
"","Chittenden","Colchester",,"",3181,"T J Donovan",
"","Essex","Concord",,"",252,"T J Donovan",
"","Orange","Corinth",,"",379,"T J Donovan",
"","Addison","Cornwall",,"",530,"T J Donovan",
"","Orleans","Coventry",,"",304,"T J Donovan",
"","Orleans","Craftsbury",,"",450,"T J Donovan",
"","Rutland","Danby",,"",291,"T J Donovan",
"","Caledonia","Danville",,"",709,"T J Donovan",
"","Orleans","Derby",,"",1161,"T J Donovan",
"","Bennington","Dorset",,"",590,"T J Donovan",
"","Windham","Dover",,"",368,"T J Donovan",
"","Windham","Dummerston",,"",765,"T J Donovan",
"","Washington","Duxbury",,"",530,"T J Donovan",
"","Essex","East Haven",,"",65,"T J Donovan",
"","Washington","East Montpelier",,"",1172,"T J Donovan",
"","Lamoille","Eden",,"",322,"T J Donovan",
"","Lamoille","Elmore",,"",350,"T J Donovan",
"","Franklin","Enosburgh",,"",772,"T J Donovan",
"","Chittenden","Essex",,"",3369,"T J Donovan",
"","Chittenden","Essex",,"",3546,"T J Donovan",
"","Chittenden","Essex",,"",985,"T J Donovan",
"","Rutland","Fair Haven",,"",619,"T J Donovan",
"","Franklin","Fairfax",,"",1464,"T J Donovan",
"","Franklin","Fairfield",,"",640,"T J Donovan",
"","Orange","Fairlee",,"",367,"T J Donovan",
"","Washington","Fayston",,"",567,"T J Donovan",
"","Addison","Ferrisburgh",,"",1077,"T J Donovan",
"","Franklin","Fletcher",,"",454,"T J Donovan",
"","Franklin","Franklin",,"",344,"T J Donovan",
"","Franklin","Georgia",,"",1483,"T J Donovan",
"","Orleans","Glover",,"",332,"T J Donovan",
"","Addison","Goshen",,"",75,"T J Donovan",
"","Windham","Grafton",,"",188,"T J Donovan",
"","Essex","Granby",,"",21,"T J Donovan",
"","Grand Isle","Grand Isle",,"",805,"T J Donovan",
"","Addison","Granville",,"",103,"T J Donovan",
"","Orleans","Greensboro",,"",257,"T J Donovan",
"","Caledonia","Groton",,"",217,"T J Donovan",
"","Essex","Guildhall",,"",65,"T J Donovan",
"","Windham","Guilford",,"",729,"T J Donovan",
"","Windham","Halifax",,"",195,"T J Donovan",
"","Addison","Hancock",,"",102,"T J Donovan",
"","Caledonia","Hardwick",,"",761,"T J Donovan",
"","Windsor","Hartford",,"",692,"T J Donovan",
"","Windsor","Hartford",,"",2487,"T J Donovan",
"","Windsor","Hartland",,"",1209,"T J Donovan",
"","Franklin","Highgate",,"",799,"T J Donovan",
"","Chittenden","Hinesburg",,"",15,"T J Donovan",
"","Chittenden","Hinesburg",,"",1963,"T J Donovan",
"","Orleans","Holland",,"",137,"T J Donovan",
"","Rutland","Hubbardton",,"",195,"T J Donovan",
"","Chittenden","Huntington",,"",964,"T J Donovan",
"","Lamoille","Hyde Park",,"",995,"T J Donovan",
"","Rutland","Ira",,"",117,"T J Donovan",
"","Orleans","Irasburg",,"",289,"T J Donovan",
"","Grand Isle","Isle La Motte",,"",189,"T J Donovan",
"","Windham","Jamaica",,"",306,"T J Donovan",
"","Orleans","Jay",,"",151,"T J Donovan",
"","Chittenden","Jericho",,"",2247,"T J Donovan",
"","Lamoille","Johnson",,"",834,"T J Donovan",
"","Rutland","Killington",,"",335,"T J Donovan",
"","Caledonia","Kirby",,"",149,"T J Donovan",
"","Bennington","Landgrove",,"",49,"T J Donovan",
"","Addison","Leicester",,"",273,"T J Donovan",
"","Essex","Lemington",,"",20,"T J Donovan",
"","Addison","Lincoln",,"",558,"T J Donovan",
"","Windham","Londonderry",,"",482,"T J Donovan",
"","Orleans","Lowell",,"",204,"T J Donovan",
"","Windsor","Ludlow",,"",574,"T J Donovan",
"","Essex","Lunenburg",,"",213,"T J Donovan",
"","Caledonia","Lyndon",,"",962,"T J Donovan",
"","Essex","Maidstone",,"",42,"T J Donovan",
"","Bennington","Manchester",,"",1214,"T J Donovan",
"","Windham","Marlboro",,"",416,"T J Donovan",
"","Washington","Marshfield",,"",533,"T J Donovan",
"","Rutland","Mendon",,"",315,"T J Donovan",
"","Addison","Middlebury",,"",2690,"T J Donovan",
"","Washington","Middlesex",,"",805,"T J Donovan",
"","Rutland","Middletown Springs",,"",265,"T J Donovan",
"","Chittenden","Milton",,"",2806,"T J Donovan",
"","Chittenden","Milton",,"",431,"T J Donovan",
"","Addison","Monkton",,"",794,"T J Donovan",
"","Franklin","Montgomery",,"",399,"T J Donovan",
"","Washington","Montpelier",,"",3798,"T J Donovan",
"","Washington","Moretown",,"",728,"T J Donovan",
"","Orleans","Morgan",,"",148,"T J Donovan",
"","Lamoille","Morristown",,"",1798,"T J Donovan",
"","Rutland","Mount Holly",,"",383,"T J Donovan",
"","Rutland","Mount Tabor",,"",50,"T J Donovan",
"","Addison","New Haven",,"",704,"T J Donovan",
"","Caledonia","Newark",,"",140,"T J Donovan",
"","Orange","Newbury",,"",602,"T J Donovan",
"","Windham","Newfane",,"",645,"T J Donovan",
"","Orleans","Newport City",,"",892,"T J Donovan",
"","Orleans","Newport Town",,"",361,"T J Donovan",
"","Grand Isle","North Hero",,"",417,"T J Donovan",
"","Washington","Northfield",,"",1426,"T J Donovan",
"","Essex","Norton",,"",40,"T J Donovan",
"","Windsor","Norwich",,"",1782,"T J Donovan",
"","Orange","Orange",,"",278,"T J Donovan",
"","Addison","Orwell",,"",346,"T J Donovan",
"","Addison","Panton",,"",216,"T J Donovan",
"","Rutland","Pawlet",,"",389,"T J Donovan",
"","Caledonia","Peacham",,"",278,"T J Donovan",
"","Bennington","Peru",,"",137,"T J Donovan",
"","Rutland","Pittsfield",,"",170,"T J Donovan",
"","Rutland","Pittsford",,"",800,"T J Donovan",
"","Washington","Plainfield",,"",485,"T J Donovan",
"","Windsor","Plymouth",,"",176,"T J Donovan",
"","Windsor","Pomfret",,"",403,"T J Donovan",
"","Rutland","Poultney",,"",754,"T J Donovan",
"","Bennington","Pownal",,"",715,"T J Donovan",
"","Rutland","Proctor",,"",484,"T J Donovan",
"","Windham","Putney",,"",920,"T J Donovan",
"","Orange","Randolph",,"",1328,"T J Donovan",
"","Windsor","Reading",,"",206,"T J Donovan",
"","Bennington","Readsboro",,"",164,"T J Donovan",
"","Franklin","Richford",,"",491,"T J Donovan",
"","Chittenden","Richmond",,"",1855,"T J Donovan",
"","Addison","Ripton",,"",251,"T J Donovan",
"","Windsor","Rochester",,"",431,"T J Donovan",
"","Windham","Rockingham",,"",1324,"T J Donovan",
"","Washington","Roxbury",,"",242,"T J Donovan",
"","Windsor","Royalton",,"",778,"T J Donovan",
"","Bennington","Rupert",,"",192,"T J Donovan",
"","Rutland","Rutland City",,"",1336,"T J Donovan",
"","Rutland","Rutland City",,"",1089,"T J Donovan",
"","Rutland","Rutland City",,"",745,"T J Donovan",
"","Rutland","Rutland City",,"",990,"T J Donovan",
"","Rutland","Rutland Town",,"",1239,"T J Donovan",
"","Caledonia","Ryegate",,"",293,"T J Donovan",
"","Addison","Salisbury",,"",348,"T J Donovan",
"","Bennington","Sandgate",,"",101,"T J Donovan",
"","Bennington","Searsburg",,"",15,"T J Donovan",
"","Bennington","Shaftsbury",,"",853,"T J Donovan",
"","Windsor","Sharon",,"",485,"T J Donovan",
"","Caledonia","Sheffield",,"",155,"T J Donovan",
"","Chittenden","Shelburne",,"",2008,"T J Donovan",
"","Chittenden","Shelburne",,"",1594,"T J Donovan",
"","Franklin","Sheldon",,"",510,"T J Donovan",
"","Addison","Shoreham",,"",401,"T J Donovan",
"","Rutland","Shrewsbury",,"",375,"T J Donovan",
"","Chittenden","South Burlington",,"",2056,"T J Donovan",
"","Chittenden","South Burlington",,"",2242,"T J Donovan",
"","Chittenden","South Burlington",,"",1941,"T J Donovan",
"","Chittenden","South Burlington",,"",1718,"T J Donovan",
"","Grand Isle","South Hero",,"",810,"T J Donovan",
"","Windsor","Springfield",,"",87,"T J Donovan",
"","Windsor","Springfield",,"",1965,"T J Donovan",
"",,"Saint  Albans City",,"",1693,"T J Donovan",
"",,"Saint  Albans Town",,"",656,"T J Donovan",
"",,"Saint  Albans Town",,"",1321,"T J Donovan",
"",,"Saint  George",,"",250,"T J Donovan",
"",,"Saint  Johnsbury",,"",1511,"T J Donovan",
"","Bennington","Stamford",,"",175,"T J Donovan",
"","Caledonia","Stannard",,"",66,"T J Donovan",
"","Addison","Starksboro",,"",622,"T J Donovan",
"","Windsor","Stockbridge",,"",250,"T J Donovan",
"","Lamoille","Stowe",,"",1861,"T J Donovan",
"","Orange","Strafford",,"",523,"T J Donovan",
"","Windham","Stratton",,"",53,"T J Donovan",
"","Rutland","Sudbury",,"",203,"T J Donovan",
"","Bennington","Sunderland",,"",59,"T J Donovan",
"","Bennington","Sunderland",,"",193,"T J Donovan",
"","Caledonia","Sutton",,"",194,"T J Donovan",
"","Franklin","Swanton",,"",1655,"T J Donovan",
"","Orange","Thetford",,"",1144,"T J Donovan",
"","Rutland","Tinmouth",,"",43,"T J Donovan",
"","Rutland","Tinmouth",,"",118,"T J Donovan",
"","Orange","Topsham",,"",285,"T J Donovan",
"","Windham","Townshend",,"",402,"T J Donovan",
"","Orleans","Troy",,"",96,"T J Donovan",
"","Orleans","Troy",,"",265,"T J Donovan",
"","Orange","Tunbridge",,"",436,"T J Donovan",
"","Chittenden","Underhill",,"",1363,"T J Donovan",
"","Addison","Vergennes",,"",870,"T J Donovan",
"","Windham","Vernon",,"",463,"T J Donovan",
"","Orange","Vershire",,"",219,"T J Donovan",
"","Essex","Victory",,"",32,"T J Donovan",
"","Washington","Waitsfield",,"",772,"T J Donovan",
"","Caledonia","Walden",,"",268,"T J Donovan",
"","Rutland","Wallingford",,"",575,"T J Donovan",
"","Addison","Waltham",,"",165,"T J Donovan",
"","Windham","Wardsboro",,"",209,"T J Donovan",
"","Washington","Warren",,"",739,"T J Donovan",
"","Orange","Washington",,"",316,"T J Donovan",
"","Washington","Waterbury",,"",2203,"T J Donovan",
"","Caledonia","Waterford",,"",336,"T J Donovan",
"","Lamoille","Waterville",,"",223,"T J Donovan",
"","Windsor","Weathersfield",,"",801,"T J Donovan",
"","Rutland","Wells",,"",239,"T J Donovan",
"","Orange","West Fairlee",,"",184,"T J Donovan",
"","Rutland","West Haven",,"",74,"T J Donovan",
"","Rutland","West Rutland",,"",520,"T J Donovan",
"","Windsor","West Windsor",,"",438,"T J Donovan",
"","Orleans","Westfield",,"",166,"T J Donovan",
"","Chittenden","Westford",,"",832,"T J Donovan",
"","Windham","Westminster",,"",47,"T J Donovan",
"","Windham","Westminster",,"",951,"T J Donovan",
"","Orleans","Westmore",,"",102,"T J Donovan",
"","Windsor","Weston",,"",250,"T J Donovan",
"","Addison","Weybridge",,"",423,"T J Donovan",
"","Caledonia","Wheelock",,"",183,"T J Donovan",
"","Addison","Whiting",,"",130,"T J Donovan",
"","Windham","Whitingham",,"",249,"T J Donovan",
"","Windham","Whitingham",,"",20,"T J Donovan",
"","Orange","Williamstown",,"",924,"T J Donovan",
"","Chittenden","Williston",,"",3923,"T J Donovan",
"","Windham","Wilmington",,"",528,"T J Donovan",
"","Windham","Windham",,"",147,"T J Donovan",
"","Windsor","Windsor",,"",1055,"T J Donovan",
"","Bennington","Winhall",,"",264,"T J Donovan",
"","Chittenden","Winooski",,"",2309,"T J Donovan",
"","Lamoille","Wolcott",,"",499,"T J Donovan",
"","Washington","Woodbury",,"",358,"T J Donovan",
"","Bennington","Woodford",,"",88,"T J Donovan",
"","Windsor","Woodstock",,"",1225,"T J Donovan",
"","Washington","Worcester",,"",433,"T J Donovan",
"","Addison","Addison",,"",307,"Deborah Deb Bucknam",
"","Orleans","Albany",,"",158,"Deborah Deb Bucknam",
"","Grand Isle","Alburgh",,"",294,"Deborah Deb Bucknam",
"","Windsor","Andover",,"",120,"Deborah Deb Bucknam",
"","Bennington","Arlington",,"",465,"Deborah Deb Bucknam",
"","Windham","Athens",,"",62,"Deborah Deb Bucknam",
"","Franklin","Bakersfield",,"",180,"Deborah Deb Bucknam",
"","Windsor","Baltimore",,"",54,"Deborah Deb Bucknam",
"","Windsor","Barnard",,"",169,"Deborah Deb Bucknam",
"","Caledonia","Barnet",,"",394,"Deborah Deb Bucknam",
"","Washington","Barre City",,"",976,"Deborah Deb Bucknam",
"","Washington","Barre Town",,"",1517,"Deborah Deb Bucknam",
"","Orleans","Barton",,"",418,"Deborah Deb Bucknam",
"","Lamoille","Belvidere",,"",69,"Deborah Deb Bucknam",
"","Bennington","Bennington",,"",844,"Deborah Deb Bucknam",
"","Bennington","Bennington",,"",866,"Deborah Deb Bucknam",
"","Rutland","Benson",,"",189,"Deborah Deb Bucknam",
"","Franklin","Berkshire",,"",238,"Deborah Deb Bucknam",
"","Washington","Berlin",,"",403,"Deborah Deb Bucknam",
"","Windsor","Bethel",,"",289,"Deborah Deb Bucknam",
"","Essex","Bloomfield",,"",43,"Deborah Deb Bucknam",
"","Chittenden","Bolton",,"",164,"Deborah Deb Bucknam",
"","Orange","Bradford",,"",376,"Deborah Deb Bucknam",
"","Orange","Braintree",,"",210,"Deborah Deb Bucknam",
"","Rutland","Brandon",,"",643,"Deborah Deb Bucknam",
"","Windham","Brattleboro",,"",490,"Deborah Deb Bucknam",
"","Windham","Brattleboro",,"",238,"Deborah Deb Bucknam",
"","Windham","Brattleboro",,"",265,"Deborah Deb Bucknam",
"","Windsor","Bridgewater",,"",161,"Deborah Deb Bucknam",
"","Addison","Bridport",,"",250,"Deborah Deb Bucknam",
"","Essex","Brighton",,"",221,"Deborah Deb Bucknam",
"","Addison","Bristol",,"",525,"Deborah Deb Bucknam",
"","Orange","Brookfield",,"",256,"Deborah Deb Bucknam",
"","Windham","Brookline",,"",81,"Deborah Deb Bucknam",
"","Orleans","Brownington",,"",166,"Deborah Deb Bucknam",
"","Essex","Brunswick",,"",24,"Deborah Deb Bucknam",
"","Caledonia","Burke",,"",369,"Deborah Deb Bucknam",
"","Chittenden","Burlington",,"",648,"Deborah Deb Bucknam",
"","Chittenden","Burlington",,"",256,"Deborah Deb Bucknam",
"","Chittenden","Burlington",,"",267,"Deborah Deb Bucknam",
"","Chittenden","Burlington",,"",166,"Deborah Deb Bucknam",
"","Chittenden","Burlington",,"",459,"Deborah Deb Bucknam",
"","Chittenden","Burlington",,"",112,"Deborah Deb Bucknam",
"","Chittenden","Burlington",,"",14,"Deborah Deb Bucknam",
"","Washington","Cabot",,"",258,"Deborah Deb Bucknam",
"","Washington","Calais",,"",203,"Deborah Deb Bucknam",
"","Lamoille","Cambridge",,"",472,"Deborah Deb Bucknam",
"","Essex","Canaan",,"",174,"Deborah Deb Bucknam",
"","Rutland","Castleton",,"",707,"Deborah Deb Bucknam",
"","Windsor","Cavendish",,"",262,"Deborah Deb Bucknam",
"","Orleans","Charleston",,"",189,"Deborah Deb Bucknam",
"","Chittenden","Charlotte",,"",515,"Deborah Deb Bucknam",
"","Orange","Chelsea",,"",269,"Deborah Deb Bucknam",
"","Windsor","Chester",,"",508,"Deborah Deb Bucknam",
"","Rutland","Chittenden",,"",305,"Deborah Deb Bucknam",
"","Rutland","Clarendon",,"",533,"Deborah Deb Bucknam",
"","Chittenden","Colchester",,"",768,"Deborah Deb Bucknam",
"","Chittenden","Colchester",,"",1031,"Deborah Deb Bucknam",
"","Essex","Concord",,"",269,"Deborah Deb Bucknam",
"","Orange","Corinth",,"",243,"Deborah Deb Bucknam",
"","Addison","Cornwall",,"",161,"Deborah Deb Bucknam",
"","Orleans","Coventry",,"",167,"Deborah Deb Bucknam",
"","Orleans","Craftsbury",,"",161,"Deborah Deb Bucknam",
"","Rutland","Danby",,"",283,"Deborah Deb Bucknam",
"","Caledonia","Danville",,"",541,"Deborah Deb Bucknam",
"","Orleans","Derby",,"",872,"Deborah Deb Bucknam",
"","Bennington","Dorset",,"",447,"Deborah Deb Bucknam",
"","Windham","Dover",,"",304,"Deborah Deb Bucknam",
"","Windham","Dummerston",,"",266,"Deborah Deb Bucknam",
"","Washington","Duxbury",,"",199,"Deborah Deb Bucknam",
"","Essex","East Haven",,"",64,"Deborah Deb Bucknam",
"","Washington","East Montpelier",,"",338,"Deborah Deb Bucknam",
"","Lamoille","Eden",,"",202,"Deborah Deb Bucknam",
"","Lamoille","Elmore",,"",156,"Deborah Deb Bucknam",
"","Franklin","Enosburgh",,"",351,"Deborah Deb Bucknam",
"","Chittenden","Essex",,"",1122,"Deborah Deb Bucknam",
"","Chittenden","Essex",,"",1214,"Deborah Deb Bucknam",
"","Chittenden","Essex",,"",352,"Deborah Deb Bucknam",
"","Rutland","Fair Haven",,"",437,"Deborah Deb Bucknam",
"","Franklin","Fairfax",,"",791,"Deborah Deb Bucknam",
"","Franklin","Fairfield",,"",249,"Deborah Deb Bucknam",
"","Orange","Fairlee",,"",143,"Deborah Deb Bucknam",
"","Washington","Fayston",,"",174,"Deborah Deb Bucknam",
"","Addison","Ferrisburgh",,"",475,"Deborah Deb Bucknam",
"","Franklin","Fletcher",,"",210,"Deborah Deb Bucknam",
"","Franklin","Franklin",,"",253,"Deborah Deb Bucknam",
"","Franklin","Georgia",,"",818,"Deborah Deb Bucknam",
"","Orleans","Glover",,"",208,"Deborah Deb Bucknam",
"","Addison","Goshen",,"",36,"Deborah Deb Bucknam",
"","Windham","Grafton",,"",151,"Deborah Deb Bucknam",
"","Essex","Granby",,"",18,"Deborah Deb Bucknam",
"","Grand Isle","Grand Isle",,"",334,"Deborah Deb Bucknam",
"","Addison","Granville",,"",24,"Deborah Deb Bucknam",
"","Orleans","Greensboro",,"",136,"Deborah Deb Bucknam",
"","Caledonia","Groton",,"",224,"Deborah Deb Bucknam",
"","Essex","Guildhall",,"",69,"Deborah Deb Bucknam",
"","Windham","Guilford",,"",283,"Deborah Deb Bucknam",
"","Windham","Halifax",,"",169,"Deborah Deb Bucknam",
"","Addison","Hancock",,"",44,"Deborah Deb Bucknam",
"","Caledonia","Hardwick",,"",521,"Deborah Deb Bucknam",
"","Windsor","Hartford",,"",415,"Deborah Deb Bucknam",
"","Windsor","Hartford",,"",1019,"Deborah Deb Bucknam",
"","Windsor","Hartland",,"",526,"Deborah Deb Bucknam",
"","Franklin","Highgate",,"",513,"Deborah Deb Bucknam",
"","Chittenden","Hinesburg",,"",4,"Deborah Deb Bucknam",
"","Chittenden","Hinesburg",,"",508,"Deborah Deb Bucknam",
"","Orleans","Holland",,"",133,"Deborah Deb Bucknam",
"","Rutland","Hubbardton",,"",163,"Deborah Deb Bucknam",
"","Chittenden","Huntington",,"",198,"Deborah Deb Bucknam",
"","Lamoille","Hyde Park",,"",444,"Deborah Deb Bucknam",
"","Rutland","Ira",,"",105,"Deborah Deb Bucknam",
"","Orleans","Irasburg",,"",228,"Deborah Deb Bucknam",
"","Grand Isle","Isle La Motte",,"",98,"Deborah Deb Bucknam",
"","Windham","Jamaica",,"",143,"Deborah Deb Bucknam",
"","Orleans","Jay",,"",73,"Deborah Deb Bucknam",
"","Chittenden","Jericho",,"",857,"Deborah Deb Bucknam",
"","Lamoille","Johnson",,"",342,"Deborah Deb Bucknam",
"","Rutland","Killington",,"",247,"Deborah Deb Bucknam",
"","Caledonia","Kirby",,"",96,"Deborah Deb Bucknam",
"","Bennington","Landgrove",,"",46,"Deborah Deb Bucknam",
"","Addison","Leicester",,"",178,"Deborah Deb Bucknam",
"","Essex","Lemington",,"",29,"Deborah Deb Bucknam",
"","Addison","Lincoln",,"",168,"Deborah Deb Bucknam",
"","Windham","Londonderry",,"",334,"Deborah Deb Bucknam",
"","Orleans","Lowell",,"",200,"Deborah Deb Bucknam",
"","Windsor","Ludlow",,"",398,"Deborah Deb Bucknam",
"","Essex","Lunenburg",,"",296,"Deborah Deb Bucknam",
"","Caledonia","Lyndon",,"",928,"Deborah Deb Bucknam",
"","Essex","Maidstone",,"",66,"Deborah Deb Bucknam",
"","Bennington","Manchester",,"",866,"Deborah Deb Bucknam",
"","Windham","Marlboro",,"",95,"Deborah Deb Bucknam",
"","Washington","Marshfield",,"",266,"Deborah Deb Bucknam",
"","Rutland","Mendon",,"",263,"Deborah Deb Bucknam",
"","Addison","Middlebury",,"",659,"Deborah Deb Bucknam",
"","Washington","Middlesex",,"",203,"Deborah Deb Bucknam",
"","Rutland","Middletown Springs",,"",176,"Deborah Deb Bucknam",
"","Chittenden","Milton",,"",1302,"Deborah Deb Bucknam",
"","Chittenden","Milton",,"",249,"Deborah Deb Bucknam",
"","Addison","Monkton",,"",337,"Deborah Deb Bucknam",
"","Franklin","Montgomery",,"",192,"Deborah Deb Bucknam",
"","Washington","Montpelier",,"",561,"Deborah Deb Bucknam",
"","Washington","Moretown",,"",204,"Deborah Deb Bucknam",
"","Orleans","Morgan",,"",167,"Deborah Deb Bucknam",
"","Lamoille","Morristown",,"",709,"Deborah Deb Bucknam",
"","Rutland","Mount Holly",,"",290,"Deborah Deb Bucknam",
"","Rutland","Mount Tabor",,"",34,"Deborah Deb Bucknam",
"","Addison","New Haven",,"",312,"Deborah Deb Bucknam",
"","Caledonia","Newark",,"",143,"Deborah Deb Bucknam",
"","Orange","Newbury",,"",379,"Deborah Deb Bucknam",
"","Windham","Newfane",,"",232,"Deborah Deb Bucknam",
"","Orleans","Newport City",,"",550,"Deborah Deb Bucknam",
"","Orleans","Newport Town",,"",280,"Deborah Deb Bucknam",
"","Grand Isle","North Hero",,"",180,"Deborah Deb Bucknam",
"","Washington","Northfield",,"",626,"Deborah Deb Bucknam",
"","Essex","Norton",,"",38,"Deborah Deb Bucknam",
"","Windsor","Norwich",,"",297,"Deborah Deb Bucknam",
"","Orange","Orange",,"",222,"Deborah Deb Bucknam",
"","Addison","Orwell",,"",267,"Deborah Deb Bucknam",
"","Addison","Panton",,"",118,"Deborah Deb Bucknam",
"","Rutland","Pawlet",,"",292,"Deborah Deb Bucknam",
"","Caledonia","Peacham",,"",176,"Deborah Deb Bucknam",
"","Bennington","Peru",,"",71,"Deborah Deb Bucknam",
"","Rutland","Pittsfield",,"",92,"Deborah Deb Bucknam",
"","Rutland","Pittsford",,"",599,"Deborah Deb Bucknam",
"","Washington","Plainfield",,"",133,"Deborah Deb Bucknam",
"","Windsor","Plymouth",,"",129,"Deborah Deb Bucknam",
"","Windsor","Pomfret",,"",156,"Deborah Deb Bucknam",
"","Rutland","Poultney",,"",540,"Deborah Deb Bucknam",
"","Bennington","Pownal",,"",541,"Deborah Deb Bucknam",
"","Rutland","Proctor",,"",293,"Deborah Deb Bucknam",
"","Windham","Putney",,"",205,"Deborah Deb Bucknam",
"","Orange","Randolph",,"",717,"Deborah Deb Bucknam",
"","Windsor","Reading",,"",122,"Deborah Deb Bucknam",
"","Bennington","Readsboro",,"",141,"Deborah Deb Bucknam",
"","Franklin","Richford",,"",296,"Deborah Deb Bucknam",
"","Chittenden","Richmond",,"",501,"Deborah Deb Bucknam",
"","Addison","Ripton",,"",49,"Deborah Deb Bucknam",
"","Windsor","Rochester",,"",151,"Deborah Deb Bucknam",
"","Windham","Rockingham",,"",556,"Deborah Deb Bucknam",
"","Washington","Roxbury",,"",108,"Deborah Deb Bucknam",
"","Windsor","Royalton",,"",395,"Deborah Deb Bucknam",
"","Bennington","Rupert",,"",156,"Deborah Deb Bucknam",
"","Rutland","Rutland City",,"",724,"Deborah Deb Bucknam",
"","Rutland","Rutland City",,"",579,"Deborah Deb Bucknam",
"","Rutland","Rutland City",,"",452,"Deborah Deb Bucknam",
"","Rutland","Rutland City",,"",514,"Deborah Deb Bucknam",
"","Rutland","Rutland Town",,"",882,"Deborah Deb Bucknam",
"","Caledonia","Ryegate",,"",241,"Deborah Deb Bucknam",
"","Addison","Salisbury",,"",168,"Deborah Deb Bucknam",
"","Bennington","Sandgate",,"",94,"Deborah Deb Bucknam",
"","Bennington","Searsburg",,"",27,"Deborah Deb Bucknam",
"","Bennington","Shaftsbury",,"",658,"Deborah Deb Bucknam",
"","Windsor","Sharon",,"",203,"Deborah Deb Bucknam",
"","Caledonia","Sheffield",,"",122,"Deborah Deb Bucknam",
"","Chittenden","Shelburne",,"",466,"Deborah Deb Bucknam",
"","Chittenden","Shelburne",,"",456,"Deborah Deb Bucknam",
"","Franklin","Sheldon",,"",264,"Deborah Deb Bucknam",
"","Addison","Shoreham",,"",184,"Deborah Deb Bucknam",
"","Rutland","Shrewsbury",,"",243,"Deborah Deb Bucknam",
"","Chittenden","South Burlington",,"",388,"Deborah Deb Bucknam",
"","Chittenden","South Burlington",,"",580,"Deborah Deb Bucknam",
"","Chittenden","South Burlington",,"",374,"Deborah Deb Bucknam",
"","Chittenden","South Burlington",,"",462,"Deborah Deb Bucknam",
"","Grand Isle","South Hero",,"",265,"Deborah Deb Bucknam",
"","Windsor","Springfield",,"",53,"Deborah Deb Bucknam",
"","Windsor","Springfield",,"",1430,"Deborah Deb Bucknam",
