election_value,title
68569,2012 State Representative Democratic Primary Windham 2-1 District
68570,2012 State Representative Democratic Primary Windham 2-2 District
68571,2012 State Representative Democratic Primary Windham 2-3 District
68572,2012 State Representative Democratic Primary Windham 3 District
68573,2012 State Representative Democratic Primary Windham 4 District
68574,2012 State Representative Democratic Primary Windham 5 District
68575,2012 State Representative Democratic Primary Windham 6 District
68576,2012 State Representative Democratic Primary Windham-Bennington District
68577,2012 State Representative Democratic Primary Windham-Bennington-Windsor District
68578,2012 State Representative Democratic Primary Windsor 1 District
68579,2012 State Representative Democratic Primary Windsor 2 District
68580,2012 State Representative Democratic Primary Windsor 3-1 District
68581,2012 State Representative Democratic Primary Windsor 3-2 District
68582,2012 State Representative Democratic Primary Windsor 4-1 District
68583,2012 State Representative Democratic Primary Windsor 4-2 District
68584,2012 State Representative Democratic Primary Windsor 5 District
68585,2012 State Representative Democratic Primary Windsor-Orange 1 District
68586,2012 State Representative Democratic Primary Windsor-Orange 2 District
68587,2012 State Representative Democratic Primary Windsor-Rutland District
68588,2012 State Representative Progressive Primary Addison 1 District
68589,2012 State Representative Progressive Primary Addison 2 District
68590,2012 State Representative Progressive Primary Addison 3 District
68591,2012 State Representative Progressive Primary Addison 4 District
68592,2012 State Representative Progressive Primary Addison 5 District
68593,2012 State Representative Progressive Primary Addison-Rutland District
68594,2012 State Representative Progressive Primary Bennington 1 District
68595,2012 State Representative Progressive Primary Bennington 2-1 District
68596,2012 State Representative Progressive Primary Bennington 2-2 District
68597,2012 State Representative Progressive Primary Bennington 3 District
68598,2012 State Representative Progressive Primary Bennington 4 District
68599,2012 State Representative Progressive Primary Bennington-Rutland District
68600,2012 State Representative Progressive Primary Caledonia 1 District
68601,2012 State Representative Progressive Primary Caledonia 2 District
68602,2012 State Representative Progressive Primary Caledonia 3 District
68603,2012 State Representative Progressive Primary Caledonia 4 District
68604,2012 State Representative Progressive Primary Caledonia-Washington District
68605,2012 State Representative Progressive Primary Chittenden 10 District
68606,2012 State Representative Progressive Primary Chittenden 4-1 District
68607,2012 State Representative Progressive Primary Chittenden 4-2 District
68608,2012 State Representative Progressive Primary Chittenden 5-1 District
68609,2012 State Representative Progressive Primary Chittenden 5-2 District
68610,2012 State Representative Progressive Primary Chittenden 6-1 District
68611,2012 State Representative Progressive Primary Chittenden 6-2 District
68612,2012 State Representative Progressive Primary Chittenden 6-3 District
68613,2012 State Representative Progressive Primary Chittenden 6-4 District
68614,2012 State Representative Progressive Primary Chittenden 6-5 District
68615,2012 State Representative Progressive Primary Chittenden 6-6 District
68616,2012 State Representative Progressive Primary Chittenden 6-7 District
68617,2012 State Representative Progressive Primary Chittenden 7-1 District
68618,2012 State Representative Progressive Primary Chittenden 7-2 District
68619,2012 State Representative Progressive Primary Chittenden 7-3 District
68620,2012 State Representative Progressive Primary Chittenden 7-4 District
68621,2012 State Representative Progressive Primary Chittenden 8-1 District
68622,2012 State Representative Progressive Primary Chittenden 8-2 District
68623,2012 State Representative Progressive Primary Chittenden 8-3 District
68624,2012 State Representative Progressive Primary Chittenden 9-1 District
68625,2012 State Representative Progressive Primary Chittenden 9-2 District
68626,2012 State Representative Progressive Primary Chittenden 1 District
68627,2012 State Representative Progressive Primary Chittenden 2 District
68628,2012 State Representative Progressive Primary Chittenden 3 District
68629,2012 State Representative Progressive Primary Essex-Caledonia District
68630,2012 State Representative Progressive Primary Essex-Caledonia-Orleans District
68631,2012 State Representative Progressive Primary Franklin 1 District
68632,2012 State Representative Progressive Primary Franklin 2 District
68633,2012 State Representative Progressive Primary Franklin 3-1 District
68634,2012 State Representative Progressive Primary Franklin 3-2 District
68635,2012 State Representative Progressive Primary Franklin 4 District
68636,2012 State Representative Progressive Primary Franklin 5 District
68637,2012 State Representative Progressive Primary Franklin 6 District
68638,2012 State Representative Progressive Primary Franklin 7 District
68639,2012 State Representative Progressive Primary Grand Isle-Chittenden District
68640,2012 State Representative Progressive Primary Lamoille 1 District
68641,2012 State Representative Progressive Primary Lamoille 2 District
68642,2012 State Representative Progressive Primary Lamoille 3 District
68643,2012 State Representative Progressive Primary Lamoille-Washington District
68644,2012 State Representative Progressive Primary Orange 1 District
68645,2012 State Representative Progressive Primary Orange 2 District
68646,2012 State Representative Progressive Primary Orange-Caledonia District
68647,2012 State Representative Progressive Primary Orange-Washington-Addison District
68648,2012 State Representative Progressive Primary Orleans 1 District
68649,2012 State Representative Progressive Primary Orleans 2 District
68650,2012 State Representative Progressive Primary Orleans-Caledonia District
68651,2012 State Representative Progressive Primary Orleans-Lamoille District
68652,2012 State Representative Progressive Primary Rutland 1 District
68653,2012 State Representative Progressive Primary Rutland 2 District
68654,2012 State Representative Progressive Primary Rutland 3 District
68655,2012 State Representative Progressive Primary Rutland 4 District
68656,2012 State Representative Progressive Primary Rutland 5-1 District
68657,2012 State Representative Progressive Primary Rutland 5-2 District
68658,2012 State Representative Progressive Primary Rutland 5-3 District
68659,2012 State Representative Progressive Primary Rutland 5-4 District
68660,2012 State Representative Progressive Primary Rutland 6 District
68661,2012 State Representative Progressive Primary Rutland-Bennington District
68662,2012 State Representative Progressive Primary Rutland-Windsor 1 District
68663,2012 State Representative Progressive Primary Rutland-Windsor 2 District
68664,2012 State Representative Progressive Primary Washington 1 District
68665,2012 State Representative Progressive Primary Washington 2 District
68666,2012 State Representative Progressive Primary Washington 3 District
68667,2012 State Representative Progressive Primary Washington 4 District
68668,2012 State Representative Progressive Primary Washington 5 District
68669,2012 State Representative Progressive Primary Washington 6 District
68670,2012 State Representative Progressive Primary Washington 7 District
68671,2012 State Representative Progressive Primary Washington-Chittenden District
68672,2012 State Representative Progressive Primary Windham 1 District
68673,2012 State Representative Progressive Primary Windham 2-1 District
68674,2012 State Representative Progressive Primary Windham 2-2 District
68675,2012 State Representative Progressive Primary Windham 2-3 District
68676,2012 State Representative Progressive Primary Windham 3 District
68677,2012 State Representative Progressive Primary Windham 4 District
68678,2012 State Representative Progressive Primary Windham 5 District
68679,2012 State Representative Progressive Primary Windham 6 District
68680,2012 State Representative Progressive Primary Windham-Bennington District
68681,2012 State Representative Progressive Primary Windham-Bennington-Windsor District
68682,2012 State Representative Progressive Primary Windsor 1 District
68683,2012 State Representative Progressive Primary Windsor 2 District
68684,2012 State Representative Progressive Primary Windsor 3-1 District
68685,2012 State Representative Progressive Primary Windsor 3-2 District
68686,2012 State Representative Progressive Primary Windsor 4-1 District
68687,2012 State Representative Progressive Primary Windsor 4-2 District
68688,2012 State Representative Progressive Primary Windsor 5 District
68689,2012 State Representative Progressive Primary Windsor-Orange 1 District
68690,2012 State Representative Progressive Primary Windsor-Orange 2 District
68691,2012 State Representative Progressive Primary Windsor-Rutland District
68692,2012 State Representative Republican Primary Addison 1 District
68693,2012 State Representative Republican Primary Addison 2 District
68694,2012 State Representative Republican Primary Addison 3 District
68695,2012 State Representative Republican Primary Addison 4 District
68696,2012 State Representative Republican Primary Addison 5 District
68697,2012 State Representative Republican Primary Addison-Rutland District
68698,2012 State Representative Republican Primary Bennington 1 District
68699,2012 State Representative Republican Primary Bennington 2-1 District
68700,2012 State Representative Republican Primary Bennington 2-2 District
68701,2012 State Representative Republican Primary Bennington 3 District
68702,2012 State Representative Republican Primary Bennington 4 District
68703,2012 State Representative Republican Primary Bennington-Rutland District
68704,2012 State Representative Republican Primary Caledonia 1 District
68705,2012 State Representative Republican Primary Caledonia 2 District
68706,2012 State Representative Republican Primary Caledonia 3 District
68707,2012 State Representative Republican Primary Caledonia 4 District
68708,2012 State Representative Republican Primary Caledonia-Washington District
68709,2012 State Representative Republican Primary Chittenden 10 District
68710,2012 State Representative Republican Primary Chittenden 4-1 District
68711,2012 State Representative Republican Primary Chittenden 4-2 District
68712,2012 State Representative Republican Primary Chittenden 5-1 District
68713,2012 State Representative Republican Primary Chittenden 5-2 District
68714,2012 State Representative Republican Primary Chittenden 6-1 District
68715,2012 State Representative Republican Primary Chittenden 6-2 District
68716,2012 State Representative Republican Primary Chittenden 6-3 District
68717,2012 State Representative Republican Primary Chittenden 6-4 District
68718,2012 State Representative Republican Primary Chittenden 6-5 District
68719,2012 State Representative Republican Primary Chittenden 6-6 District
68720,2012 State Representative Republican Primary Chittenden 6-7 District
68721,2012 State Representative Republican Primary Chittenden 7-1 District
68722,2012 State Representative Republican Primary Chittenden 7-2 District
68723,2012 State Representative Republican Primary Chittenden 7-3 District
68724,2012 State Representative Republican Primary Chittenden 7-4 District
68725,2012 State Representative Republican Primary Chittenden 8-1 District
68726,2012 State Representative Republican Primary Chittenden 8-2 District
68727,2012 State Representative Republican Primary Chittenden 8-3 District
68728,2012 State Representative Republican Primary Chittenden 9-1 District
68729,2012 State Representative Republican Primary Chittenden 9-2 District
68730,2012 State Representative Republican Primary Chittenden 1 District
68731,2012 State Representative Republican Primary Chittenden 2 District
68732,2012 State Representative Republican Primary Chittenden 3 District
68733,2012 State Representative Republican Primary Essex-Caledonia District
68734,2012 State Representative Republican Primary Essex-Caledonia-Orleans District
68735,2012 State Representative Republican Primary Franklin 1 District
68736,2012 State Representative Republican Primary Franklin 2 District
68737,2012 State Representative Republican Primary Franklin 3-1 District
68738,2012 State Representative Republican Primary Franklin 3-2 District
68739,2012 State Representative Republican Primary Franklin 4 District
68740,2012 State Representative Republican Primary Franklin 5 District
68741,2012 State Representative Republican Primary Franklin 6 District
68742,2012 State Representative Republican Primary Franklin 7 District
68743,2012 State Representative Republican Primary Grand Isle-Chittenden District
68744,2012 State Representative Republican Primary Lamoille 1 District
68745,2012 State Representative Republican Primary Lamoille 2 District
68746,2012 State Representative Republican Primary Lamoille 3 District
68747,2012 State Representative Republican Primary Lamoille-Washington District
68748,2012 State Representative Republican Primary Orange 1 District
68749,2012 State Representative Republican Primary Orange 2 District
68750,2012 State Representative Republican Primary Orange-Caledonia District
68751,2012 State Representative Republican Primary Orange-Washington-Addison District
68752,2012 State Representative Republican Primary Orleans 1 District
68753,2012 State Representative Republican Primary Orleans 2 District
68754,2012 State Representative Republican Primary Orleans-Caledonia District
68755,2012 State Representative Republican Primary Orleans-Lamoille District
68756,2012 State Representative Republican Primary Rutland 1 District
68757,2012 State Representative Republican Primary Rutland 2 District
68758,2012 State Representative Republican Primary Rutland 3 District
68759,2012 State Representative Republican Primary Rutland 4 District
68760,2012 State Representative Republican Primary Rutland 5-1 District
68761,2012 State Representative Republican Primary Rutland 5-2 District
68762,2012 State Representative Republican Primary Rutland 5-3 District
68763,2012 State Representative Republican Primary Rutland 5-4 District
68764,2012 State Representative Republican Primary Rutland 6 District
68765,2012 State Representative Republican Primary Rutland-Bennington District
68766,2012 State Representative Republican Primary Rutland-Windsor 1 District
68767,2012 State Representative Republican Primary Rutland-Windsor 2 District
68768,2012 State Representative Republican Primary Washington 1 District
68769,2012 State Representative Republican Primary Washington 2 District
68770,2012 State Representative Republican Primary Washington 3 District
68771,2012 State Representative Republican Primary Washington 4 District
68772,2012 State Representative Republican Primary Washington 5 District
68773,2012 State Representative Republican Primary Washington 6 District
68774,2012 State Representative Republican Primary Washington 7 District
68775,2012 State Representative Republican Primary Washington-Chittenden District
68776,2012 State Representative Republican Primary Windham 1 District
68777,2012 State Representative Republican Primary Windham 2-1 District
68778,2012 State Representative Republican Primary Windham 2-2 District
68779,2012 State Representative Republican Primary Windham 2-3 District
68780,2012 State Representative Republican Primary Windham 3 District
68781,2012 State Representative Republican Primary Windham 4 District
68782,2012 State Representative Republican Primary Windham 5 District
68783,2012 State Representative Republican Primary Windham 6 District
68784,2012 State Representative Republican Primary Windham-Bennington District
68785,2012 State Representative Republican Primary Windham-Bennington-Windsor District
68786,2012 State Representative Republican Primary Windsor 1 District
68787,2012 State Representative Republican Primary Windsor 2 District
68788,2012 State Representative Republican Primary Windsor 3-1 District
68789,2012 State Representative Republican Primary Windsor 3-2 District
68790,2012 State Representative Republican Primary Windsor 4-1 District
68791,2012 State Representative Republican Primary Windsor 4-2 District
68792,2012 State Representative Republican Primary Windsor 5 District
68793,2012 State Representative Republican Primary Windsor-Orange 1 District
68794,2012 State Representative Republican Primary Windsor-Orange 2 District
68795,2012 State Representative Republican Primary Windsor-Rutland District
68796,2012 State Senator Democratic Primary Addison District
68797,2012 State Senator Democratic Primary Bennington District
68798,2012 State Senator Democratic Primary Caledonia District
68799,2012 State Senator Democratic Primary Chittenden District
68800,2012 State Senator Democratic Primary Essex-Orleans District
68801,2012 State Senator Democratic Primary Franklin District
68802,2012 State Senator Democratic Primary Grand Isle District
68803,2012 State Senator Democratic Primary Lamoille District
68804,2012 State Senator Democratic Primary Orange District
68805,2012 State Senator Democratic Primary Rutland District
68806,2012 State Senator Democratic Primary Washington District
68807,2012 State Senator Democratic Primary Windham District
68808,2012 State Senator Democratic Primary Windsor District
68809,2012 State Senator Progressive Primary Addison District
68810,2012 State Senator Progressive Primary Bennington District
68811,2012 State Senator Progressive Primary Caledonia District
68812,2012 State Senator Progressive Primary Chittenden District
68813,2012 State Senator Progressive Primary Essex-Orleans District
68814,2012 State Senator Progressive Primary Franklin District
68815,2012 State Senator Progressive Primary Grand Isle District
68816,2012 State Senator Progressive Primary Lamoille District
68817,2012 State Senator Progressive Primary Orange District
68818,2012 State Senator Progressive Primary Rutland District
68819,2012 State Senator Progressive Primary Washington District
68820,2012 State Senator Progressive Primary Windham District
68821,2012 State Senator Progressive Primary Windsor District
68822,2012 State Senator Republican Primary Addison District
68823,2012 State Senator Republican Primary Bennington District
68824,2012 State Senator Republican Primary Caledonia District
68825,2012 State Senator Republican Primary Chittenden District
68826,2012 State Senator Republican Primary Essex-Orleans District
68827,2012 State Senator Republican Primary Franklin District
68828,2012 State Senator Republican Primary Grand Isle District
68829,2012 State Senator Republican Primary Lamoille District
68830,2012 State Senator Republican Primary Orange District
68831,2012 State Senator Republican Primary Rutland District
68832,2012 State Senator Republican Primary Washington District
68833,2012 State Senator Republican Primary Windham District
68834,2012 State Senator Republican Primary Windsor District
68835,2012 Treasurer Democratic Primary
68836,2012 Treasurer Progressive Primary
68837,2012 Treasurer Republican Primary
68838,2012 U.S. Senate Democratic Primary
68839,2012 U.S. Senate Progressive Primary
68840,2012 U.S. Senate Republican Primary
68841,2012 Attorney General General Election
68842,2012 Auditor General Election
68843,2012 Governor General Election
68844,2012 High Bailiff General Election Washington County
68845,2012 High Bailiff General Election Bennington County
68846,2012 High Bailiff General Election Chittenden County
68847,2012 High Bailiff General Election Franklin County
68848,2012 High Bailiff General Election Grand Isle County
68849,2012 High Bailiff General Election Windham County
68850,2012 High Bailiff General Election Windsor County
68851,2012 High Bailiff General Election Addison County
68852,2012 High Bailiff General Election Caledonia County
68853,2012 High Bailiff General Election Essex County
68854,2012 High Bailiff General Election Lamoille County
68855,2012 High Bailiff General Election Orange County
68856,2012 High Bailiff General Election Orleans County
68857,2012 High Bailiff General Election Rutland County
68858,2012 Lieutenant Governor General Election
68859,2012 U.S. House General Election
68860,2012 Secretary of State General Election
68861,2012 State Representative General Election Chittenden 6-3 District
68862,2012 State Representative General Election Chittenden 6-4 District
68863,2012 State Representative General Election Chittenden 6-5 District
68864,2012 State Representative General Election Chittenden 3 District
68865,2012 State Representative General Election Washington 4 District
68866,2012 State Representative General Election Addison 1 District
68867,2012 State Representative General Election Addison 2 District
68868,2012 State Representative General Election Addison 3 District
68869,2012 State Representative General Election Addison 4 District
68870,2012 State Representative General Election Addison 5 District
68871,2012 State Representative General Election Bennington 1 District
68872,2012 State Representative General Election Bennington 2-1 District
68873,2012 State Representative General Election Bennington 2-2 District
68874,2012 State Representative General Election Bennington 3 District
68875,2012 State Representative General Election Bennington 4 District
68876,2012 State Representative General Election Caledonia 1 District
68877,2012 State Representative General Election Caledonia 2 District
68878,2012 State Representative General Election Caledonia 3 District
68879,2012 State Representative General Election Caledonia 4 District
68880,2012 State Representative General Election Caledonia-Washington District
68881,2012 State Representative General Election Chittenden 10 District
68882,2012 State Representative General Election Chittenden 4-1 District
68883,2012 State Representative General Election Chittenden 4-2 District
68884,2012 State Representative General Election Chittenden 5-1 District
68885,2012 State Representative General Election Chittenden 5-2 District
68886,2012 State Representative General Election Chittenden 6-1 District
68887,2012 State Representative General Election Chittenden 6-2 District
68888,2012 State Representative General Election Chittenden 6-6 District
68889,2012 State Representative General Election Chittenden 6-7 District
68890,2012 State Representative General Election Chittenden 7-1 District
68891,2012 State Representative General Election Chittenden 7-2 District
68892,2012 State Representative General Election Chittenden 7-3 District
68893,2012 State Representative General Election Chittenden 7-4 District
68894,2012 State Representative General Election Chittenden 8-1 District
68895,2012 State Representative General Election Chittenden 8-2 District
68896,2012 State Representative General Election Chittenden 8-3 District
68897,2012 State Representative General Election Chittenden 9-1 District
68898,2012 State Representative General Election Chittenden 9-2 District
68899,2012 State Representative General Election Chittenden 1 District
68900,2012 State Representative General Election Chittenden 2 District
68901,2012 State Representative General Election Franklin 3-1 District
68902,2012 State Representative General Election Franklin 4 District
68903,2012 State Representative General Election Franklin 6 District
68904,2012 State Representative General Election Grand Isle-Chittenden District
68905,2012 State Representative General Election Lamoille 2 District
68906,2012 State Representative General Election Lamoille 3 District
68907,2012 State Representative General Election Lamoille-Washington District
68908,2012 State Representative General Election Orange 2 District
68909,2012 State Representative General Election Orange-Caledonia District
68910,2012 State Representative General Election Orange-Washington-Addison District
68911,2012 State Representative General Election Orleans-Caledonia District
68912,2012 State Representative General Election Rutland 2 District
68913,2012 State Representative General Election Rutland 5-2 District
68914,2012 State Representative General Election Rutland 5-3 District
68915,2012 State Representative General Election Rutland 5-4 District
68916,2012 State Representative General Election Rutland 6 District
68917,2012 State Representative General Election Rutland-Bennington District
68918,2012 State Representative General Election Rutland-Windsor 1 District
68919,2012 State Representative General Election Rutland-Windsor 2 District
68920,2012 State Representative General Election Washington 1 District
68921,2012 State Representative General Election Washington 3 District
68922,2012 State Representative General Election Washington 5 District
68923,2012 State Representative General Election Washington 6 District
68924,2012 State Representative General Election Washington 7 District
68925,2012 State Representative General Election Washington-Chittenden District
68926,2012 State Representative General Election Windham 2-1 District
68927,2012 State Representative General Election Windham 2-3 District
68928,2012 State Representative General Election Windham 3 District
68929,2012 State Representative General Election Windham 4 District
68930,2012 State Representative General Election Windham 5 District
68931,2012 State Representative General Election Windham 6 District
68932,2012 State Representative General Election Windham-Bennington District
68933,2012 State Representative General Election Windsor 1 District
68934,2012 State Representative General Election Windsor 2 District
68935,2012 State Representative General Election Windsor 3-1 District
68936,2012 State Representative General Election Windsor 3-2 District
68937,2012 State Representative General Election Windsor 4-1 District
68938,2012 State Representative General Election Windsor 4-2 District
68939,2012 State Representative General Election Windsor 5 District
68940,2012 State Representative General Election Windsor-Orange 1 District
68941,2012 State Representative General Election Windsor-Orange 2 District
68942,2012 State Representative General Election Addison-Rutland District
68943,2012 State Representative General Election Essex-Caledonia District
68944,2012 State Representative General Election Franklin 2 District
68945,2012 State Representative General Election Orleans 2 District
68946,2012 State Representative General Election Windham-Bennington-Windsor District
68947,2012 State Representative General Election Bennington-Rutland District
68948,2012 State Representative General Election Essex-Caledonia-Orleans District
68949,2012 State Representative General Election Franklin 1 District
68950,2012 State Representative General Election Franklin 3-2 District
68951,2012 State Representative General Election Franklin 5 District
68952,2012 State Representative General Election Franklin 7 District
68953,2012 State Representative General Election Lamoille 1 District
68954,2012 State Representative General Election Orange 1 District
68955,2012 State Representative General Election Orleans 1 District
68956,2012 State Representative General Election Orleans-Lamoille District
68957,2012 State Representative General Election Rutland 1 District
68958,2012 State Representative General Election Rutland 3 District
68959,2012 State Representative General Election Rutland 4 District
68960,2012 State Representative General Election Rutland 5-1 District
68961,2012 State Representative General Election Washington 2 District
68962,2012 State Representative General Election Windham 1 District
68963,2012 State Representative General Election Windham 2-2 District
68964,2012 State Representative General Election Windsor-Rutland District
68965,2012 State Senator General Election Chittenden District
68966,2012 State Senator General Election Addison District
68967,2012 State Senator General Election Bennington District
68968,2012 State Senator General Election Caledonia District
68969,2012 State Senator General Election Essex-Orleans District
68970,2012 State Senator General Election Franklin District
68971,2012 State Senator General Election Grand Isle District
68972,2012 State Senator General Election Lamoille District
68973,2012 State Senator General Election Orange District
68974,2012 State Senator General Election Rutland District
68975,2012 State Senator General Election Washington District
68976,2012 State Senator General Election Windham District
68977,2012 State Senator General Election Windsor District
68978,2012 Treasurer General Election
68979,2012 President General Election
68980,2012 U.S. Senate General Election
69014,2010 Assistant Judge Democratic Primary Addison County
69015,2010 Assistant Judge Democratic Primary Bennington County
69016,2010 Assistant Judge Democratic Primary Caledonia County
69017,2010 Assistant Judge Democratic Primary Chittenden County
69018,2010 Assistant Judge Democratic Primary Essex County
69019,2010 Assistant Judge Democratic Primary Franklin County
69020,2010 Assistant Judge Democratic Primary Grand Isle County
69021,2010 Assistant Judge Democratic Primary Lamoille County
69022,2010 Assistant Judge Democratic Primary Orange County
69023,2010 Assistant Judge Democratic Primary Orleans County
69024,2010 Assistant Judge Democratic Primary Rutland County
69025,2010 Assistant Judge Democratic Primary Washington County
69026,2010 Assistant Judge Democratic Primary Windham County
69027,2010 Assistant Judge Democratic Primary Windsor County
69028,2010 Assistant Judge Progressive Primary Addison County
69029,2010 Assistant Judge Progressive Primary Bennington County
69030,2010 Assistant Judge Progressive Primary Caledonia County
69031,2010 Assistant Judge Progressive Primary Chittenden County
69032,2010 Assistant Judge Progressive Primary Essex County
69033,2010 Assistant Judge Progressive Primary Franklin County
69034,2010 Assistant Judge Progressive Primary Grand Isle County
69035,2010 Assistant Judge Progressive Primary Lamoille County
69036,2010 Assistant Judge Progressive Primary Orange County
69037,2010 Assistant Judge Progressive Primary Orleans County
69038,2010 Assistant Judge Progressive Primary Rutland County
69039,2010 Assistant Judge Progressive Primary Washington County
69040,2010 Assistant Judge Progressive Primary Windham County
69041,2010 Assistant Judge Progressive Primary Windsor County
69042,2010 Assistant Judge Republican Primary Addison County
69043,2010 Assistant Judge Republican Primary Bennington County
69044,2010 Assistant Judge Republican Primary Caledonia County
69045,2010 Assistant Judge Republican Primary Chittenden County
69046,2010 Assistant Judge Republican Primary Essex County
69047,2010 Assistant Judge Republican Primary Franklin County
69048,2010 Assistant Judge Republican Primary Grand Isle County
69049,2010 Assistant Judge Republican Primary Lamoille County
69050,2010 Assistant Judge Republican Primary Orange County
69051,2010 Assistant Judge Republican Primary Orleans County
69052,2010 Assistant Judge Republican Primary Rutland County
69053,2010 Assistant Judge Republican Primary Washington County
69054,2010 Assistant Judge Republican Primary Windham County
69055,2010 Assistant Judge Republican Primary Windsor County
69056,2010 Attorney General Democratic Primary
69057,2010 Attorney General Progressive Primary
69058,2010 Attorney General Republican Primary
69059,2010 Auditor Democratic Primary
69060,2010 Auditor Progressive Primary
69061,2010 Auditor Republican Primary
69062,2010 Governor Democratic Primary
69063,2010 Governor Progressive Primary
69064,2010 Governor Republican Primary
69065,2010 High Bailiff Democratic Primary Addison County
69066,2010 High Bailiff Democratic Primary Bennington County
69067,2010 High Bailiff Democratic Primary Caledonia County
69068,2010 High Bailiff Democratic Primary Chittenden County
69069,2010 High Bailiff Democratic Primary Essex County
69070,2010 High Bailiff Democratic Primary Franklin County
69071,2010 High Bailiff Democratic Primary Grand Isle County
69072,2010 High Bailiff Democratic Primary Lamoille County
69073,2010 High Bailiff Democratic Primary Orange County
69074,2010 High Bailiff Democratic Primary Orleans County
69075,2010 High Bailiff Democratic Primary Rutland County
69076,2010 High Bailiff Democratic Primary Washington County
69077,2010 High Bailiff Democratic Primary Windham County
69078,2010 High Bailiff Democratic Primary Windsor County
69079,2010 High Bailiff Progressive Primary Addison County
69080,2010 High Bailiff Progressive Primary Bennington County
69081,2010 High Bailiff Progressive Primary Caledonia County
69082,2010 High Bailiff Progressive Primary Chittenden County
69083,2010 High Bailiff Progressive Primary Essex County
69084,2010 High Bailiff Progressive Primary Franklin County
69085,2010 High Bailiff Progressive Primary Grand Isle County
69086,2010 High Bailiff Progressive Primary Lamoille County
69087,2010 High Bailiff Progressive Primary Orange County
69088,2010 High Bailiff Progressive Primary Orleans County
69089,2010 High Bailiff Progressive Primary Rutland County
69090,2010 High Bailiff Progressive Primary Washington County
69091,2010 High Bailiff Progressive Primary Windham County
69092,2010 High Bailiff Progressive Primary Windsor County
69093,2010 High Bailiff Republican Primary Addison County
69094,2010 High Bailiff Republican Primary Bennington County
69095,2010 High Bailiff Republican Primary Caledonia County
69096,2010 High Bailiff Republican Primary Chittenden County
69097,2010 High Bailiff Republican Primary Essex County
69098,2010 High Bailiff Republican Primary Franklin County
69099,2010 High Bailiff Republican Primary Grand Isle County
69100,2010 High Bailiff Republican Primary Lamoille County
69101,2010 High Bailiff Republican Primary Orange County
69102,2010 High Bailiff Republican Primary Orleans County
69103,2010 High Bailiff Republican Primary Rutland County
69104,2010 High Bailiff Republican Primary Washington County
69105,2010 High Bailiff Republican Primary Windham County
69106,2010 High Bailiff Republican Primary Windsor County
69107,2010 Lieutenant Governor Democratic Primary
69108,2010 Lieutenant Governor Progressive Primary
69109,2010 Lieutenant Governor Republican Primary
69110,2010 Probate Judge Democratic Primary Addison County
69111,2010 Probate Judge Democratic Primary Bennington County
69112,2010 Probate Judge Democratic Primary Caledonia County
69113,2010 Probate Judge Democratic Primary Chittenden County
69114,2010 Probate Judge Democratic Primary Essex County
69115,2010 Probate Judge Democratic Primary Franklin County
69116,2010 Probate Judge Democratic Primary Grand Isle County
69117,2010 Probate Judge Democratic Primary Lamoille County
69118,2010 Probate Judge Democratic Primary Orange County
69119,2010 Probate Judge Democratic Primary Orleans County
69120,2010 Probate Judge Democratic Primary Rutland County
69121,2010 Probate Judge Democratic Primary Washington County
69122,2010 Probate Judge Democratic Primary Windham County
69123,2010 Probate Judge Democratic Primary Windsor County
69124,2010 Probate Judge Progressive Primary Addison County
69125,2010 Probate Judge Progressive Primary Bennington County
69126,2010 Probate Judge Progressive Primary Caledonia County
69127,2010 Probate Judge Progressive Primary Chittenden County
69128,2010 Probate Judge Progressive Primary Essex County
69129,2010 Probate Judge Progressive Primary Franklin County
69130,2010 Probate Judge Progressive Primary Grand Isle County
69131,2010 Probate Judge Progressive Primary Lamoille County
69132,2010 Probate Judge Progressive Primary Orange County
69133,2010 Probate Judge Progressive Primary Orleans County
69134,2010 Probate Judge Progressive Primary Rutland County
69135,2010 Probate Judge Progressive Primary Washington County
69136,2010 Probate Judge Progressive Primary Windham County
69137,2010 Probate Judge Progressive Primary Windsor County
69138,2010 Probate Judge Republican Primary Addison County
69139,2010 Probate Judge Republican Primary Bennington County
69140,2010 Probate Judge Republican Primary Caledonia County
69141,2010 Probate Judge Republican Primary Chittenden County
69142,2010 Probate Judge Republican Primary Essex County
69143,2010 Probate Judge Republican Primary Franklin County
69144,2010 Probate Judge Republican Primary Grand Isle County
69145,2010 Probate Judge Republican Primary Lamoille County
69146,2010 Probate Judge Republican Primary Orange County
69147,2010 Probate Judge Republican Primary Orleans County
69148,2010 Probate Judge Republican Primary Rutland County
69149,2010 Probate Judge Republican Primary Washington County
69150,2010 Probate Judge Republican Primary Windham County
69151,2010 Probate Judge Republican Primary Windsor County
69152,2010 U.S. House Democratic Primary
69153,2010 U.S. House Progressive Primary
69154,2010 U.S. House Republican Primary
69155,2010 Secretary of State Democratic Primary
69156,2010 Secretary of State Progressive Primary
69157,2010 Secretary of State Republican Primary
69158,2010 Sheriff Democratic Primary Addison County
69159,2010 Sheriff Democratic Primary Bennington County
69160,2010 Sheriff Democratic Primary Caledonia County
69161,2010 Sheriff Democratic Primary Chittenden County
69162,2010 Sheriff Democratic Primary Essex County
69163,2010 Sheriff Democratic Primary Franklin County
69164,2010 Sheriff Democratic Primary Grand Isle County
69165,2010 Sheriff Democratic Primary Lamoille County
69166,2010 Sheriff Democratic Primary Orange County
69167,2010 Sheriff Democratic Primary Orleans County
