"","election_value","title"
"29369",29369,NA
"29370",29370,NA
"29371",29371,NA
"29372",29372,NA
"29373",29373,NA
"29374",29374,NA
"29375",29375,NA
"29376",29376,NA
"29377",29377,NA
"29378",29378,NA
"29379",29379,NA
"29380",29380,NA
"29381",29381,NA
"29382",29382,NA
"29383",29383,NA
"29384",29384,NA
"29385",29385,NA
"29386",29386,NA
"29387",29387,NA
"29388",29388,NA
"29389",29389,NA
"29390",29390,NA
"29391",29391,NA
"29392",29392,NA
"29393",29393,NA
"29394",29394,NA
"29395",29395,NA
"29396",29396,NA
"29397",29397,NA
"29398",29398,NA
"29399",29399,NA
"29400",29400,NA
"29401",29401,NA
"29402",29402,NA
"29403",29403,NA
"29404",29404,NA
"29405",29405,NA
"29406",29406,NA
"29407",29407,NA
"29408",29408,NA
"29409",29409,NA
"29410",29410,NA
"29411",29411,NA
"29412",29412,NA
"29413",29413,NA
"29414",29414,NA
"29415",29415,NA
"29416",29416,NA
"29417",29417,NA
"29418",29418,NA
"29419",29419,NA
"29420",29420,NA
"29421",29421,NA
"29422",29422,NA
"29423",29423,NA
"29424",29424,NA
"29425",29425,NA
"29426",29426,NA
"29427",29427,NA
"29428",29428,NA
"29429",29429,NA
"29430",29430,NA
"29431",29431,NA
"29432",29432,NA
"29433",29433,NA
"29434",29434,NA
"29435",29435,NA
"29436",29436,NA
"29437",29437,NA
"29438",29438,NA
"29439",29439,NA
"29440",29440,NA
"29441",29441,NA
"29442",29442,NA
"29443",29443,NA
"29444",29444,NA
"29445",29445,NA
"29446",29446,NA
"29447",29447,NA
"29448",29448,NA
"29449",29449,NA
"29450",29450,NA
"29451",29451,NA
"29452",29452,NA
"29453",29453,NA
"29454",29454,NA
"29455",29455,NA
"29456",29456,NA
"29457",29457,NA
"29458",29458,NA
"29459",29459,NA
"29460",29460,NA
"29461",29461,NA
"29462",29462,NA
"29463",29463,NA
"29464",29464,NA
"29465",29465,NA
"29466",29466,NA
"29467",29467,NA
"29468",29468,NA
"29469",29469,NA
"29470",29470,NA
"29471",29471,NA
"29472",29472,NA
"29473",29473,NA
"29474",29474,NA
"29475",29475,NA
"29476",29476,NA
"29477",29477,NA
"29478",29478,NA
"29479",29479,NA
"29480",29480,NA
"29481",29481,NA
"29482",29482,NA
"29483",29483,NA
"29484",29484,NA
"29485",29485,NA
"29486",29486,NA
"29487",29487,NA
"29488",29488,NA
"29489",29489,NA
"29490",29490,NA
"29491",29491,NA
"29492",29492,NA
"29493",29493,NA
"29494",29494,NA
"29495",29495,NA
"29496",29496,NA
"29497",29497,NA
"29498",29498,NA
"29499",29499,NA
"29500",29500,NA
"29501",29501,NA
"29502",29502,NA
"29503",29503,NA
"29504",29504,NA
"29505",29505,NA
"29506",29506,NA
"29507",29507,NA
"29508",29508,NA
"29509",29509,NA
"29510",29510,NA
"29511",29511,NA
"29512",29512,NA
"29513",29513,NA
"29514",29514,NA
"29515",29515,NA
"29516",29516,NA
"29517",29517,NA
"29518",29518,NA
"29519",29519,NA
"29520",29520,NA
"29521",29521,NA
"29522",29522,NA
"29523",29523,NA
"29524",29524,NA
"29525",29525,NA
"29526",29526,NA
"29527",29527,NA
"29528",29528,NA
"29529",29529,NA
"29530",29530,NA
"29531",29531,NA
"29532",29532,NA
"29533",29533,NA
"29534",29534,NA
"29535",29535,NA
"29536",29536,NA
"29537",29537,NA
"29538",29538,NA
"29539",29539,NA
"29540",29540,NA
"29541",29541,NA
"29542",29542,NA
"29543",29543,NA
"29544",29544,NA
"29545",29545,NA
"29546",29546,NA
"29547",29547,NA
"29548",29548,NA
"29549",29549,NA
"29550",29550,NA
"29551",29551,NA
"29552",29552,NA
"29553",29553,NA
"29554",29554,NA
"29555",29555,NA
"29556",29556,NA
"29557",29557,NA
"29558",29558,NA
"29559",29559,NA
"29560",29560,NA
"29561",29561,NA
"29562",29562,NA
"29563",29563,NA
"29564",29564,NA
"29565",29565,NA
"29566",29566,NA
"29567",29567,NA
"29568",29568,NA
"29569",29569,NA
"29570",29570,NA
"29571",29571,NA
"29572",29572,NA
"29573",29573,NA
"29574",29574,NA
"29575",29575,NA
"29576",29576,NA
"29577",29577,NA
"29578",29578,NA
"29579",29579,NA
"29580",29580,NA
"29581",29581,NA
"29582",29582,NA
"29583",29583,NA
"29584",29584,NA
"29585",29585,NA
"29586",29586,NA
"29587",29587,NA
"29588",29588,NA
"29589",29589,NA
"29590",29590,NA
"29591",29591,NA
"29592",29592,NA
"29593",29593,NA
"29594",29594,NA
"29595",29595,NA
"29596",29596,NA
"29597",29597,NA
"29598",29598,NA
"29599",29599,NA
"29600",29600,NA
"29601",29601,NA
"29602",29602,NA
"29603",29603,NA
"29604",29604,NA
"29605",29605,NA
"29606",29606,NA
"29607",29607,NA
"29608",29608,NA
"29609",29609,NA
"29610",29610,NA
"29611",29611,NA
"29612",29612,NA
"29613",29613,NA
"29614",29614,NA
"29615",29615,NA
"29616",29616,NA
"29617",29617,NA
"29618",29618,NA
"29619",29619,NA
"29620",29620,NA
"29621",29621,NA
"29622",29622,NA
"29623",29623,NA
"29624",29624,NA
"29625",29625,NA
"29626",29626,NA
"29627",29627,NA
"29628",29628,NA
"29629",29629,NA
"29630",29630,NA
"29631",29631,NA
"29632",29632,NA
"29633",29633,NA
"29634",29634,NA
"29635",29635,NA
"29636",29636,NA
"29637",29637,NA
"29638",29638,NA
"29639",29639,NA
"29640",29640,NA
"29641",29641,NA
"29642",29642,NA
"29643",29643,NA
"29644",29644,NA
"29645",29645,NA
"29646",29646,NA
"29647",29647,NA
"29648",29648,NA
"29649",29649,NA
"29650",29650,NA
"29651",29651,NA
"29652",29652,NA
"29653",29653,NA
"29654",29654,NA
"29655",29655,NA
"29656",29656,NA
"29657",29657,NA
"29658",29658,NA
"29659",29659,NA
"29660",29660,NA
"29661",29661,NA
"29662",29662,NA
"29663",29663,NA
"29664",29664,NA
"29665",29665,NA
"29666",29666,NA
"29667",29667,NA
"29668",29668,NA
"29669",29669,NA
"29670",29670,NA
"29671",29671,NA
"29672",29672,NA
"29673",29673,NA
"29674",29674,NA
"29675",29675,NA
"29676",29676,NA
"29677",29677,NA
"29678",29678,NA
"29679",29679,NA
"29680",29680,NA
"29681",29681,NA
"29682",29682,NA
"29683",29683,NA
"29684",29684,NA
"29685",29685,NA
"29686",29686,NA
"29687",29687,NA
"29688",29688,NA
"29689",29689,NA
"29690",29690,NA
"29691",29691,NA
"29692",29692,NA
"29693",29693,NA
"29694",29694,NA
"29695",29695,NA
"29696",29696,NA
"29697",29697,NA
"29698",29698,NA
"29699",29699,NA
"29700",29700,NA
"29701",29701,NA
"29702",29702,NA
"29703",29703,NA
"29704",29704,NA
"29705",29705,NA
"29706",29706,NA
"29707",29707,NA
"29708",29708,NA
"29709",29709,NA
"29710",29710,NA
"29711",29711,NA
"29712",29712,NA
"29713",29713,NA
"29714",29714,NA
"29715",29715,NA
"29716",29716,NA
"29717",29717,NA
"29718",29718,NA
"29719",29719,NA
"29720",29720,NA
"29721",29721,NA
"29722",29722,NA
"29723",29723,NA
"29724",29724,NA
"29725",29725,NA
"29726",29726,NA
"29727",29727,NA
"29728",29728,NA
"29729",29729,NA
"29730",29730,NA
"29731",29731,NA
"29732",29732,NA
"29733",29733,NA
"29734",29734,NA
"29735",29735,NA
"29736",29736,NA
"29737",29737,NA
"29738",29738,NA
"29739",29739,NA
"29740",29740,NA
"29741",29741,NA
"29742",29742,NA
"29743",29743,NA
"29744",29744,NA
"29745",29745,NA
"29746",29746,NA
"29747",29747,NA
"29748",29748,NA
"29749",29749,NA
"29750",29750,NA
"29751",29751,NA
"29752",29752,NA
"29753",29753,NA
"29754",29754,NA
"29755",29755,NA
"29756",29756,NA
"29757",29757,NA
"29758",29758,NA
"29759",29759,NA
"29760",29760,NA
"29761",29761,NA
"29762",29762,NA
"29763",29763,NA
"29764",29764,NA
"29765",29765,NA
"29766",29766,NA
"29767",29767,NA
"29768",29768,NA
"29769",29769,NA
"29770",29770,NA
"29771",29771,NA
"29772",29772,NA
"29773",29773,NA
"29774",29774,NA
"29775",29775,NA
"29776",29776,NA
"29777",29777,NA
"29778",29778,NA
"29779",29779,NA
"29780",29780,NA
"29781",29781,NA
"29782",29782,NA
"29783",29783,NA
"29784",29784,NA
"29785",29785,NA
"29786",29786,NA
"29787",29787,NA
"29788",29788,NA
"29789",29789,NA
"29790",29790,NA
"29791",29791,NA
"29792",29792,NA
"29793",29793,NA
"29794",29794,NA
"29795",29795,NA
"29796",29796,NA
"29797",29797,NA
"29798",29798,NA
"29799",29799,NA
"29800",29800,NA
"29801",29801,NA
"29802",29802,NA
"29803",29803,NA
"29804",29804,NA
"29805",29805,NA
"29806",29806,NA
"29807",29807,NA
"29808",29808,NA
"29809",29809,NA
"29810",29810,NA
"29811",29811,NA
"29812",29812,NA
"29813",29813,NA
"29814",29814,NA
"29815",29815,NA
"29816",29816,NA
"29817",29817,NA
"29818",29818,NA
"29819",29819,NA
"29820",29820,NA
"29821",29821,NA
"29822",29822,NA
"29823",29823,NA
"29824",29824,NA
"29825",29825,NA
"29826",29826,NA
"29827",29827,NA
"29828",29828,NA
"29829",29829,NA
"29830",29830,NA
"29831",29831,NA
"29832",29832,NA
"29833",29833,NA
"29834",29834,NA
"29835",29835,NA
"29836",29836,NA
"29837",29837,NA
"29838",29838,NA
"29839",29839,NA
"29840",29840,NA
"29841",29841,NA
"29842",29842,NA
"29843",29843,NA
"29844",29844,NA
"29845",29845,NA
"29846",29846,NA
"29847",29847,NA
"29848",29848,NA
"29849",29849,NA
"29850",29850,NA
"29851",29851,NA
"29852",29852,NA
"29853",29853,NA
"29854",29854,NA
"29855",29855,NA
"29856",29856,NA
"29857",29857,NA
"29858",29858,NA
"29859",29859,NA
"29860",29860,NA
"29861",29861,NA
"29862",29862,NA
"29863",29863,NA
"29864",29864,NA
"29865",29865,NA
"29866",29866,NA
"29867",29867,NA
"29868",29868,NA
"29869",29869,NA
"29870",29870,NA
"29871",29871,NA
"29872",29872,NA
"29873",29873,NA
"29874",29874,NA
"29875",29875,NA
"29876",29876,NA
"29877",29877,NA
"29878",29878,NA
"29879",29879,NA
"29880",29880,NA
"29881",29881,NA
"29882",29882,NA
"29883",29883,NA
"29884",29884,NA
"29885",29885,NA
"29886",29886,NA
"29887",29887,NA
"29888",29888,NA
"29889",29889,NA
"29890",29890,NA
"29891",29891,NA
"29892",29892,NA
"29893",29893,NA
"29894",29894,NA
"29895",29895,NA
"29896",29896,NA
"29897",29897,NA
"29898",29898,NA
"29899",29899,NA
"29900",29900,NA
"29901",29901,NA
"29902",29902,NA
"29903",29903,NA
"29904",29904,NA
"29905",29905,NA
"29906",29906,NA
"29907",29907,NA
"29908",29908,NA
"29909",29909,NA
"29910",29910,NA
"29911",29911,NA
"29912",29912,NA
"29913",29913,NA
"29914",29914,NA
"29915",29915,NA
"29916",29916,NA
"29917",29917,NA
"29918",29918,NA
"29919",29919,NA
"29920",29920,NA
"29921",29921,NA
"29922",29922,NA
"29923",29923,NA
"29924",29924,NA
"29925",29925,NA
"29926",29926,NA
"29927",29927,NA
"29928",29928,NA
"29929",29929,NA
"29930",29930,NA
"29931",29931,NA
"29932",29932,NA
"29933",29933,NA
"29934",29934,NA
"29935",29935,NA
"29936",29936,NA
"29937",29937,NA
"29938",29938,NA
"29939",29939,NA
"29940",29940,NA
"29941",29941,NA
"29942",29942,NA
"29943",29943,NA
"29944",29944,NA
"29945",29945,NA
"29946",29946,NA
"29947",29947,NA
"29948",29948,NA
"29949",29949,NA
"29950",29950,NA
"29951",29951,NA
"29952",29952,NA
"29953",29953,NA
"29954",29954,NA
"29955",29955,NA
"29956",29956,NA
"29957",29957,NA
"29958",29958,NA
"29959",29959,NA
"29960",29960,NA
"29961",29961,NA
"29962",29962,NA
"29963",29963,NA
"29964",29964,NA
"29965",29965,NA
"29966",29966,NA
"29967",29967,NA
"29968",29968,NA
"29969",29969,NA
"29970",29970,NA
"29971",29971,NA
"29972",29972,NA
"29973",29973,NA
"29974",29974,NA
"29975",29975,NA
"29976",29976,NA
"29977",29977,NA
"29978",29978,NA
"29979",29979,NA
"29980",29980,NA
"29981",29981,NA
"29982",29982,NA
"29983",29983,NA
"29984",29984,NA
"29985",29985,NA
"29986",29986,NA
"29987",29987,NA
"29988",29988,NA
"29989",29989,NA
"29990",29990,NA
"29991",29991,NA
"29992",29992,NA
"29993",29993,NA
"29994",29994,NA
"29995",29995,NA
"29996",29996,NA
"29997",29997,NA
"29998",29998,NA
"29999",29999,NA
"30000",30000,NA
"30001",30001,NA
"30002",30002,NA
"30003",30003,NA
"30004",30004,NA
"30005",30005,NA
"30006",30006,NA
"30007",30007,NA
"30008",30008,NA
"30009",30009,NA
"30010",30010,NA
"30011",30011,NA
"30012",30012,NA
"30013",30013,NA
"30014",30014,NA
"30015",30015,NA
"30016",30016,NA
"30017",30017,NA
"30018",30018,NA
"30019",30019,NA
"30020",30020,NA
"30021",30021,NA
"30022",30022,NA
"30023",30023,NA
"30024",30024,NA
"30025",30025,NA
"30026",30026,NA
"30027",30027,NA
"30028",30028,NA
"30029",30029,NA
"30030",30030,NA
"30031",30031,NA
"30032",30032,NA
"30033",30033,NA
"30034",30034,NA
"30035",30035,NA
"30036",30036,NA
"30037",30037,NA
"30038",30038,NA
"30039",30039,NA
"30040",30040,NA
"30041",30041,NA
"30042",30042,NA
"30043",30043,NA
"30044",30044,NA
"30045",30045,NA
"30046",30046,NA
"30047",30047,NA
"30048",30048,NA
"30049",30049,NA
"30050",30050,NA
"30051",30051,NA
"30052",30052,NA
"30053",30053,NA
"30054",30054,NA
"30055",30055,NA
"30056",30056,NA
"30057",30057,NA
"30058",30058,NA
"30059",30059,NA
"30060",30060,NA
"30061",30061,NA
"30062",30062,NA
"30063",30063,NA
"30064",30064,NA
"30065",30065,NA
"30066",30066,NA
"30067",30067,NA
"30068",30068,NA
"30069",30069,NA
"30070",30070,NA
"30071",30071,NA
"30072",30072,NA
"30073",30073,NA
"30074",30074,NA
"30075",30075,NA
"30076",30076,NA
"30077",30077,NA
"30078",30078,NA
"30079",30079,NA
"30080",30080,NA
"30081",30081,NA
"30082",30082,NA
"30083",30083,NA
"30084",30084,NA
"30085",30085,NA
"30086",30086,NA
"30087",30087,NA
"30088",30088,NA
"30089",30089,NA
"30090",30090,NA
"30091",30091,NA
"30092",30092,NA
"30093",30093,NA
"30094",30094,NA
"30095",30095,NA
"30096",30096,NA
"30097",30097,NA
"30098",30098,NA
"30099",30099,NA
"30100",30100,NA
"30101",30101,NA
"30102",30102,NA
"30103",30103,NA
"30104",30104,NA
"30105",30105,NA
"30106",30106,NA
"30107",30107,NA
"30108",30108,NA
"30109",30109,NA
"30110",30110,NA
"30111",30111,NA
"30112",30112,NA
"30113",30113,NA
"30114",30114,NA
"30115",30115,NA
"30116",30116,NA
"30117",30117,NA
"30118",30118,NA
"30119",30119,NA
"30120",30120,NA
"30121",30121,NA
"30122",30122,NA
"30123",30123,NA
"30124",30124,NA
"30125",30125,NA
"30126",30126,NA
"30127",30127,NA
"30128",30128,NA
"30129",30129,NA
"30130",30130,NA
"30131",30131,NA
"30132",30132,NA
"30133",30133,NA
"30134",30134,NA
"30135",30135,NA
"30136",30136,NA
"30137",30137,NA
"30138",30138,NA
"30139",30139,NA
"30140",30140,NA
"30141",30141,NA
"30142",30142,NA
"30143",30143,NA
"30144",30144,NA
"30145",30145,NA
"30146",30146,NA
"30147",30147,NA
"30148",30148,NA
"30149",30149,NA
"30150",30150,NA
"30151",30151,NA
"30152",30152,NA
"30153",30153,NA
"30154",30154,NA
"30155",30155,NA
"30156",30156,NA
"30157",30157,NA
"30158",30158,NA
"30159",30159,NA
"30160",30160,NA
"30161",30161,NA
"30162",30162,NA
"30163",30163,NA
"30164",30164,NA
"30165",30165,NA
"30166",30166,NA
"30167",30167,NA
"30168",30168,NA
"30169",30169,NA
"30170",30170,NA
"30171",30171,NA
"30172",30172,NA
"30173",30173,NA
"30174",30174,NA
"30175",30175,NA
"30176",30176,NA
"30177",30177,NA
"30178",30178,NA
"30179",30179,NA
"30180",30180,NA
"30181",30181,NA
"30182",30182,NA
"30183",30183,NA
"30184",30184,NA
"30185",30185,NA
"30186",30186,NA
"30187",30187,NA
"30188",30188,NA
"30189",30189,NA
"30190",30190,NA
"30191",30191,NA
"30192",30192,NA
"30193",30193,NA
"30194",30194,NA
"30195",30195,NA
"30196",30196,NA
"30197",30197,NA
"30198",30198,NA
"30199",30199,NA
"30200",30200,NA
"30201",30201,NA
"30202",30202,NA
"30203",30203,NA
"30204",30204,NA
"30205",30205,NA
"30206",30206,NA
"30207",30207,NA
"30208",30208,NA
"30209",30209,NA
"30210",30210,NA
"30211",30211,NA
"30212",30212,NA
"30213",30213,NA
"30214",30214,NA
"30215",30215,NA
"30216",30216,NA
"30217",30217,NA
"30218",30218,NA
"30219",30219,NA
"30220",30220,NA
"30221",30221,NA
"30222",30222,NA
"30223",30223,NA
"30224",30224,NA
"30225",30225,NA
"30226",30226,NA
"30227",30227,NA
"30228",30228,NA
"30229",30229,NA
"30230",30230,NA
"30231",30231,NA
"30232",30232,NA
"30233",30233,NA
"30234",30234,NA
"30235",30235,NA
"30236",30236,NA
"30237",30237,NA
"30238",30238,NA
"30239",30239,NA
"30240",30240,NA
"30241",30241,NA
"30242",30242,NA
"30243",30243,NA
"30244",30244,NA
"30245",30245,NA
"30246",30246,NA
"30247",30247,NA
"30248",30248,NA
"30249",30249,NA
"30250",30250,NA
"30251",30251,NA
"30252",30252,NA
"30253",30253,NA
"30254",30254,NA
"30255",30255,NA
"30256",30256,NA
"30257",30257,NA
"30258",30258,NA
"30259",30259,NA
"30260",30260,NA
"30261",30261,NA
"30262",30262,NA
"30263",30263,NA
"30264",30264,NA
"30265",30265,NA
"30266",30266,NA
"30267",30267,NA
"30268",30268,NA
"30269",30269,NA
"30270",30270,NA
"30271",30271,NA
"30272",30272,NA
"30273",30273,NA
"30274",30274,NA
"30275",30275,NA
"30276",30276,NA
"30277",30277,NA
"30278",30278,NA
"30279",30279,NA
"30280",30280,NA
"30281",30281,NA
"30282",30282,NA
"30283",30283,NA
"30284",30284,NA
"30285",30285,NA
"30286",30286,NA
"30287",30287,NA
"30288",30288,NA
"30289",30289,NA
"30290",30290,NA
"30291",30291,NA
"30292",30292,NA
"30293",30293,NA
"30294",30294,NA
"30295",30295,NA
"30296",30296,NA
"30297",30297,NA
"30298",30298,NA
"30299",30299,NA
"30300",30300,NA
"30301",30301,NA
"30302",30302,NA
"30303",30303,NA
"30304",30304,NA
"30305",30305,NA
"30306",30306,NA
"30307",30307,NA
"30308",30308,NA
"30309",30309,NA
"30310",30310,NA
"30311",30311,NA
"30312",30312,NA
"30313",30313,NA
"30314",30314,NA
"30315",30315,NA
"30316",30316,NA
"30317",30317,NA
"30318",30318,NA
"30319",30319,NA
"30320",30320,NA
"30321",30321,NA
"30322",30322,NA
"30323",30323,NA
"30324",30324,NA
"30325",30325,NA
"30326",30326,NA
"30327",30327,NA
"30328",30328,NA
"30329",30329,NA
"30330",30330,NA
"30331",30331,NA
"30332",30332,NA
"30333",30333,NA
"30334",30334,NA
"30335",30335,NA
"30336",30336,NA
"30337",30337,NA
"30338",30338,NA
"30339",30339,NA
"30340",30340,NA
"30341",30341,NA
"30342",30342,NA
"30343",30343,NA
"30344",30344,NA
"30345",30345,NA
"30346",30346,NA
"30347",30347,NA
"30348",30348,NA
"30349",30349,NA
"30350",30350,NA
"30351",30351,NA
"30352",30352,NA
"30353",30353,NA
"30354",30354,NA
"30355",30355,NA
"30356",30356,NA
"30357",30357,NA
"30358",30358,NA
"30359",30359,NA
"30360",30360,NA
"30361",30361,NA
"30362",30362,NA
"30363",30363,NA
"30364",30364,NA
"30365",30365,NA
"30366",30366,NA
"30367",30367,NA
"30368",30368,NA
"30369",30369,NA
"30370",30370,NA
"30371",30371,NA
"30372",30372,NA
"30373",30373,NA
"30374",30374,NA
"30375",30375,NA
"30376",30376,NA
"30377",30377,NA
"30378",30378,NA
"30379",30379,NA
"30380",30380,NA
"30381",30381,NA
"30382",30382,NA
"30383",30383,NA
"30384",30384,NA
"30385",30385,NA
"30386",30386,NA
"30387",30387,NA
"30388",30388,NA
"30389",30389,NA
"30390",30390,NA
"30391",30391,NA
"30392",30392,NA
"30393",30393,NA
"30394",30394,NA
"30395",30395,NA
"30396",30396,NA
"30397",30397,NA
"30398",30398,NA
"30399",30399,NA
"30400",30400,NA
"30401",30401,NA
"30402",30402,NA
"30403",30403,NA
"30404",30404,NA
"30405",30405,NA
"30406",30406,NA
"30407",30407,NA
"30408",30408,NA
"30409",30409,NA
"30410",30410,NA
"30411",30411,NA
"30412",30412,NA
"30413",30413,NA
"30414",30414,NA
"30415",30415,NA
"30416",30416,NA
"30417",30417,NA
"30418",30418,NA
"30419",30419,NA
"30420",30420,NA
"30421",30421,NA
"30422",30422,NA
"30423",30423,NA
"30424",30424,NA
"30425",30425,NA
"30426",30426,NA
"30427",30427,NA
"30428",30428,NA
"30429",30429,NA
"30430",30430,NA
"30431",30431,NA
"30432",30432,NA
"30433",30433,NA
"30434",30434,NA
"30435",30435,NA
"30436",30436,NA
"30437",30437,NA
"30438",30438,NA
"30439",30439,NA
"30440",30440,NA
"30441",30441,NA
"30442",30442,NA
"30443",30443,NA
"30444",30444,NA
"30445",30445,NA
"30446",30446,NA
"30447",30447,NA
"30448",30448,NA
"30449",30449,NA
"30450",30450,NA
"30451",30451,NA
"30452",30452,NA
"30453",30453,NA
"30454",30454,NA
"30455",30455,NA
"30456",30456,NA
"30457",30457,NA
"30458",30458,NA
"30459",30459,NA
"30460",30460,NA
"30461",30461,NA
"30462",30462,NA
"30463",30463,NA
"30464",30464,NA
"30465",30465,NA
"30466",30466,NA
"30467",30467,NA
"30468",30468,NA
"30469",30469,NA
"30470",30470,NA
"30471",30471,NA
"30472",30472,NA
"30473",30473,NA
"30474",30474,NA
"30475",30475,NA
"30476",30476,NA
"30477",30477,NA
"30478",30478,NA
"30479",30479,NA
"30480",30480,NA
"30481",30481,NA
"30482",30482,NA
"30483",30483,NA
"30484",30484,NA
"30485",30485,NA
"30486",30486,NA
"30487",30487,NA
"30488",30488,NA
"30489",30489,NA
"30490",30490,NA
"30491",30491,NA
"30492",30492,NA
"30493",30493,NA
"30494",30494,NA
"30495",30495,NA
"30496",30496,NA
"30497",30497,NA
"30498",30498,NA
"30499",30499,NA
"30500",30500,NA
"30501",30501,NA
"30502",30502,NA
"30503",30503,NA
"30504",30504,NA
"30505",30505,NA
"30506",30506,NA
"30507",30507,NA
"30508",30508,NA
"30509",30509,NA
"30510",30510,NA
"30511",30511,NA
"30512",30512,NA
"30513",30513,NA
"30514",30514,NA
"30515",30515,NA
"30516",30516,NA
"30517",30517,NA
"30518",30518,NA
"30519",30519,NA
"30520",30520,NA
"30521",30521,NA
"30522",30522,NA
"30523",30523,NA
"30524",30524,NA
"30525",30525,NA
"30526",30526,NA
"30527",30527,NA
"30528",30528,NA
"30529",30529,NA
"30530",30530,NA
"30531",30531,NA
"30532",30532,NA
"30533",30533,NA
"30534",30534,NA
"30535",30535,NA
"30536",30536,NA
"30537",30537,NA
"30538",30538,NA
"30539",30539,NA
"30540",30540,NA
"30541",30541,NA
"30542",30542,NA
"30543",30543,NA
"30544",30544,NA
"30545",30545,NA
"30546",30546,NA
"30547",30547,NA
"30548",30548,NA
"30549",30549,NA
"30550",30550,NA
"30551",30551,NA
"30552",30552,NA
"30553",30553,NA
"30554",30554,NA
"30555",30555,NA
"30556",30556,NA
"30557",30557,NA
"30558",30558,NA
"30559",30559,NA
"30560",30560,NA
"30561",30561,NA
"30562",30562,NA
"30563",30563,NA
"30564",30564,NA
"30565",30565,NA
"30566",30566,NA
"30567",30567,NA
"30568",30568,NA
"30569",30569,NA
"30570",30570,NA
"30571",30571,NA
"30572",30572,NA
"30573",30573,NA
"30574",30574,NA
"30575",30575,NA
"30576",30576,NA
"30577",30577,NA
"30578",30578,NA
"30579",30579,NA
"30580",30580,NA
"30581",30581,NA
"30582",30582,NA
"30583",30583,NA
"30584",30584,NA
"30585",30585,NA
"30586",30586,NA
"30587",30587,NA
"30588",30588,NA
"30589",30589,NA
"30590",30590,NA
"30591",30591,NA
"30592",30592,NA
"30593",30593,NA
"30594",30594,NA
"30595",30595,NA
"30596",30596,NA
"30597",30597,NA
"30598",30598,NA
"30599",30599,NA
"30600",30600,NA
"30601",30601,NA
"30602",30602,NA
"30603",30603,NA
"30604",30604,NA
"30605",30605,NA
"30606",30606,NA
"30607",30607,NA
"30608",30608,NA
"30609",30609,NA
"30610",30610,NA
"30611",30611,NA
"30612",30612,NA
"30613",30613,NA
"30614",30614,NA
"30615",30615,NA
"30616",30616,NA
"30617",30617,NA
"30618",30618,NA
"30619",30619,NA
"30620",30620,NA
"30621",30621,NA
"30622",30622,NA
"30623",30623,NA
"30624",30624,NA
"30625",30625,NA
"30626",30626,NA
"30627",30627,NA
"30628",30628,NA
"30629",30629,NA
"30630",30630,NA
"30631",30631,NA
"30632",30632,NA
"30633",30633,NA
"30634",30634,NA
"30635",30635,NA
"30636",30636,NA
"30637",30637,NA
"30638",30638,NA
"30639",30639,NA
"30640",30640,NA
"30641",30641,NA
"30642",30642,NA
"30643",30643,NA
"30644",30644,NA
"30645",30645,NA
"30646",30646,NA
"30647",30647,NA
"30648",30648,NA
"30649",30649,NA
"30650",30650,NA
"30651",30651,NA
"30652",30652,NA
"30653",30653,NA
"30654",30654,NA
"30655",30655,NA
"30656",30656,NA
"30657",30657,NA
"30658",30658,NA
"30659",30659,NA
"30660",30660,NA
"30661",30661,NA
"30662",30662,NA
"30663",30663,NA
"30664",30664,NA
"30665",30665,NA
"30666",30666,NA
"30667",30667,NA
"30668",30668,NA
"30669",30669,NA
"30670",30670,NA
"30671",30671,NA
"30672",30672,NA
"30673",30673,NA
"30674",30674,NA
"30675",30675,NA
"30676",30676,NA
"30677",30677,NA
"30678",30678,NA
"30679",30679,NA
"30680",30680,NA
"30681",30681,NA
"30682",30682,NA
"30683",30683,NA
"30684",30684,NA
"30685",30685,NA
"30686",30686,NA
"30687",30687,NA
"30688",30688,NA
"30689",30689,NA
"30690",30690,NA
"30691",30691,NA
"30692",30692,NA
"30693",30693,NA
"30694",30694,NA
"30695",30695,NA
"30696",30696,NA
"30697",30697,NA
"30698",30698,NA
"30699",30699,NA
"30700",30700,NA
"30701",30701,NA
"30702",30702,NA
"30703",30703,NA
"30704",30704,NA
"30705",30705,NA
"30706",30706,NA
"30707",30707,NA
"30708",30708,NA
"30709",30709,NA
"30710",30710,NA
"30711",30711,NA
"30712",30712,NA
"30713",30713,NA
"30714",30714,NA
"30715",30715,NA
"30716",30716,NA
"30717",30717,NA
"30718",30718,NA
"30719",30719,NA
"30720",30720,NA
"30721",30721,NA
"30722",30722,NA
"30723",30723,NA
"30724",30724,NA
"30725",30725,NA
"30726",30726,NA
"30727",30727,NA
"30728",30728,NA
"30729",30729,NA
"30730",30730,NA
"30731",30731,NA
"30732",30732,NA
"30733",30733,NA
"30734",30734,NA
"30735",30735,NA
"30736",30736,NA
"30737",30737,NA
"30738",30738,NA
"30739",30739,NA
"30740",30740,NA
"30741",30741,NA
"30742",30742,NA
"30743",30743,NA
"30744",30744,NA
"30745",30745,NA
"30746",30746,NA
"30747",30747,NA
"30748",30748,NA
"30749",30749,NA
"30750",30750,NA
"30751",30751,NA
"30752",30752,NA
"30753",30753,NA
"30754",30754,NA
"30755",30755,NA
"30756",30756,NA
"30757",30757,NA
"30758",30758,NA
"30759",30759,NA
"30760",30760,NA
"30761",30761,NA
"30762",30762,NA
"30763",30763,NA
"30764",30764,NA
"30765",30765,NA
"30766",30766,NA
"30767",30767,NA
