election_value,title,year,election_type,district,party,office
67756,2014 State Representative Liberty Union Primary Chittenden 4-2 District,2014,Primary,Chittenden 4-2,Liberty Union,State Representative
67757,2014 State Representative Liberty Union Primary Rutland 1 District,2014,Primary,Rutland 1,Liberty Union,State Representative
67758,2014 State Representative Liberty Union Primary Windham-Bennington-Windsor District,2014,Primary,Windham-Bennington-Windsor,Liberty Union,State Representative
67759,2014 State Representative Liberty Union Primary Chittenden 3 District,2014,Primary,Chittenden 3,Liberty Union,State Representative
67760,2014 State Representative Liberty Union Primary Rutland-Windsor 2 District,2014,Primary,Rutland-Windsor 2,Liberty Union,State Representative
67761,2014 State Representative Liberty Union Primary Windham 5 District,2014,Primary,Windham 5,Liberty Union,State Representative
67762,2014 State Representative Liberty Union Primary Addison 1 District,2014,Primary,Addison 1,Liberty Union,State Representative
67763,2014 State Representative Liberty Union Primary Rutland-Bennington District,2014,Primary,Rutland-Bennington,Liberty Union,State Representative
67764,2014 State Representative Liberty Union Primary Chittenden 10 District,2014,Primary,Chittenden 10,Liberty Union,State Representative
67765,2014 State Representative Liberty Union Primary Washington 4 District,2014,Primary,Washington 4,Liberty Union,State Representative
67766,2014 State Representative Liberty Union Primary Windsor-Orange 2 District,2014,Primary,Windsor-Orange 2,Liberty Union,State Representative
67767,2014 State Representative Liberty Union Primary Windsor 5 District,2014,Primary,Windsor 5,Liberty Union,State Representative
67768,2014 State Representative Liberty Union Primary Bennington 1 District,2014,Primary,Bennington 1,Liberty Union,State Representative
67769,2014 State Representative Liberty Union Primary Chittenden 1 District,2014,Primary,Chittenden 1,Liberty Union,State Representative
67770,2014 State Representative Liberty Union Primary Windsor-Orange 1 District,2014,Primary,Windsor-Orange 1,Liberty Union,State Representative
67771,2014 State Representative Liberty Union Primary Rutland 5-1 District,2014,Primary,Rutland 5-1,Liberty Union,State Representative
67772,2014 State Representative Liberty Union Primary Rutland 5-2 District,2014,Primary,Rutland 5-2,Liberty Union,State Representative
67773,2014 State Representative Liberty Union Primary Rutland 5-3 District,2014,Primary,Rutland 5-3,Liberty Union,State Representative
67774,2014 State Representative Liberty Union Primary Rutland 5-4 District,2014,Primary,Rutland 5-4,Liberty Union,State Representative
67775,2014 State Representative Liberty Union Primary Rutland 4 District,2014,Primary,Rutland 4,Liberty Union,State Representative
67776,2014 State Representative Liberty Union Primary Franklin 3-1 District,2014,Primary,Franklin 3-1,Liberty Union,State Representative
67777,2014 State Representative Liberty Union Primary Franklin 3-2 District,2014,Primary,Franklin 3-2,Liberty Union,State Representative
67778,2014 State Representative Liberty Union Primary Chittenden 5-2 District,2014,Primary,Chittenden 5-2,Liberty Union,State Representative
67779,2014 State Representative Liberty Union Primary Caledonia 3 District,2014,Primary,Caledonia 3,Liberty Union,State Representative
67780,2014 State Representative Liberty Union Primary Bennington 3 District,2014,Primary,Bennington 3,Liberty Union,State Representative
67781,2014 State Representative Liberty Union Primary Chittenden 5-1 District,2014,Primary,Chittenden 5-1,Liberty Union,State Representative
67782,2014 State Representative Liberty Union Primary Franklin 4 District,2014,Primary,Franklin 4,Liberty Union,State Representative
67783,2014 State Representative Liberty Union Primary Chittenden 7-1 District,2014,Primary,Chittenden 7-1,Liberty Union,State Representative
67784,2014 State Representative Liberty Union Primary Chittenden 7-2 District,2014,Primary,Chittenden 7-2,Liberty Union,State Representative
67785,2014 State Representative Liberty Union Primary Chittenden 7-3 District,2014,Primary,Chittenden 7-3,Liberty Union,State Representative
67786,2014 State Representative Liberty Union Primary Chittenden 7-4 District,2014,Primary,Chittenden 7-4,Liberty Union,State Representative
67787,2014 State Representative Liberty Union Primary Windsor 3-2 District,2014,Primary,Windsor 3-2,Liberty Union,State Representative
67788,2014 State Representative Liberty Union Primary Lamoille 1 District,2014,Primary,Lamoille 1,Liberty Union,State Representative
67789,2014 State Representative Liberty Union Primary Chittenden 2 District,2014,Primary,Chittenden 2,Liberty Union,State Representative
67790,2014 State Representative Progressive Primary Addison 3 District,2014,Primary,Addison 3,Progressive,State Representative
67791,2014 State Representative Progressive Primary Orleans-Caledonia District,2014,Primary,Orleans-Caledonia,Progressive,State Representative
67792,2014 State Representative Progressive Primary Grand Isle-Chittenden District,2014,Primary,Grand Isle-Chittenden,Progressive,State Representative
67793,2014 State Representative Progressive Primary Windsor 3-1 District,2014,Primary,Windsor 3-1,Progressive,State Representative
67794,2014 State Representative Progressive Primary Bennington 4 District,2014,Primary,Bennington 4,Progressive,State Representative
67795,2014 State Representative Progressive Primary Windham 3 District,2014,Primary,Windham 3,Progressive,State Representative
67796,2014 State Representative Progressive Primary Franklin 6 District,2014,Primary,Franklin 6,Progressive,State Representative
67797,2014 State Representative Progressive Primary Windsor 4-1 District,2014,Primary,Windsor 4-1,Progressive,State Representative
67798,2014 State Representative Progressive Primary Caledonia 1 District,2014,Primary,Caledonia 1,Progressive,State Representative
67799,2014 State Representative Progressive Primary Washington 3 District,2014,Primary,Washington 3,Progressive,State Representative
67800,2014 State Representative Progressive Primary Washington 2 District,2014,Primary,Washington 2,Progressive,State Representative
67801,2014 State Representative Progressive Primary Lamoille 2 District,2014,Primary,Lamoille 2,Progressive,State Representative
67802,2014 State Representative Progressive Primary Bennington 2-1 District,2014,Primary,Bennington 2-1,Progressive,State Representative
67803,2014 State Representative Progressive Primary Bennington 2-2 District,2014,Primary,Bennington 2-2,Progressive,State Representative
67804,2014 State Representative Progressive Primary Addison-Rutland District,2014,Primary,Addison-Rutland,Progressive,State Representative
67805,2014 State Representative Progressive Primary Franklin 5 District,2014,Primary,Franklin 5,Progressive,State Representative
67806,2014 State Representative Progressive Primary Washington 1 District,2014,Primary,Washington 1,Progressive,State Representative
67807,2014 State Representative Progressive Primary Windsor-Rutland District,2014,Primary,Windsor-Rutland,Progressive,State Representative
67808,2014 State Representative Progressive Primary Essex-Caledonia-Orleans District,2014,Primary,Essex-Caledonia-Orleans,Progressive,State Representative
67809,2014 State Representative Progressive Primary Washington-Chittenden District,2014,Primary,Washington-Chittenden,Progressive,State Representative
67810,2014 State Representative Progressive Primary Orange 2 District,2014,Primary,Orange 2,Progressive,State Representative
67811,2014 State Representative Progressive Primary Orange-Washington-Addison District,2014,Primary,Orange-Washington-Addison,Progressive,State Representative
67812,2014 State Representative Progressive Primary Rutland 6 District,2014,Primary,Rutland 6,Progressive,State Representative
67813,2014 State Representative Progressive Primary Windham 2-1 District,2014,Primary,Windham 2-1,Progressive,State Representative
67814,2014 State Representative Progressive Primary Windham 2-2 District,2014,Primary,Windham 2-2,Progressive,State Representative
67815,2014 State Representative Progressive Primary Windham 2-3 District,2014,Primary,Windham 2-3,Progressive,State Representative
67816,2014 State Representative Progressive Primary Rutland-Windsor 1 District,2014,Primary,Rutland-Windsor 1,Progressive,State Representative
67817,2014 State Representative Progressive Primary Addison 5 District,2014,Primary,Addison 5,Progressive,State Representative
67818,2014 State Representative Progressive Primary Addison 4 District,2014,Primary,Addison 4,Progressive,State Representative
67819,2014 State Representative Progressive Primary Orleans 1 District,2014,Primary,Orleans 1,Progressive,State Representative
67820,2014 State Representative Progressive Primary Essex-Caledonia District,2014,Primary,Essex-Caledonia,Progressive,State Representative
67821,2014 State Representative Progressive Primary Caledonia 4 District,2014,Primary,Caledonia 4,Progressive,State Representative
67822,2014 State Representative Progressive Primary Chittenden 6-1 District,2014,Primary,Chittenden 6-1,Progressive,State Representative
67823,2014 State Representative Progressive Primary Chittenden 6-2 District,2014,Primary,Chittenden 6-2,Progressive,State Representative
67824,2014 State Representative Progressive Primary Chittenden 6-3 District,2014,Primary,Chittenden 6-3,Progressive,State Representative
67825,2014 State Representative Progressive Primary Chittenden 6-4 District,2014,Primary,Chittenden 6-4,Progressive,State Representative
67826,2014 State Representative Progressive Primary Chittenden 6-5 District,2014,Primary,Chittenden 6-5,Progressive,State Representative
67827,2014 State Representative Progressive Primary Chittenden 6-6 District,2014,Primary,Chittenden 6-6,Progressive,State Representative
67828,2014 State Representative Progressive Primary Chittenden 6-7 District,2014,Primary,Chittenden 6-7,Progressive,State Representative
67829,2014 State Representative Progressive Primary Caledonia-Washington District,2014,Primary,Caledonia-Washington,Progressive,State Representative
67830,2014 State Representative Progressive Primary Washington 6 District,2014,Primary,Washington 6,Progressive,State Representative
67831,2014 State Representative Progressive Primary Lamoille 3 District,2014,Primary,Lamoille 3,Progressive,State Representative
67832,2014 State Representative Progressive Primary Rutland 3 District,2014,Primary,Rutland 3,Progressive,State Representative
67833,2014 State Representative Progressive Primary Windsor 2 District,2014,Primary,Windsor 2,Progressive,State Representative
67834,2014 State Representative Progressive Primary Chittenden 4-1 District,2014,Primary,Chittenden 4-1,Progressive,State Representative
67835,2014 State Representative Progressive Primary Orange 1 District,2014,Primary,Orange 1,Progressive,State Representative
67836,2014 State Representative Progressive Primary Rutland 2 District,2014,Primary,Rutland 2,Progressive,State Representative
67837,2014 State Representative Progressive Primary Chittenden 9-1 District,2014,Primary,Chittenden 9-1,Progressive,State Representative
67838,2014 State Representative Progressive Primary Chittenden 9-2 District,2014,Primary,Chittenden 9-2,Progressive,State Representative
67839,2014 State Representative Progressive Primary Addison 2 District,2014,Primary,Addison 2,Progressive,State Representative
67840,2014 State Representative Progressive Primary Orleans 2 District,2014,Primary,Orleans 2,Progressive,State Representative
67841,2014 State Representative Progressive Primary Bennington-Rutland District,2014,Primary,Bennington-Rutland,Progressive,State Representative
67842,2014 State Representative Progressive Primary Windham-Bennington District,2014,Primary,Windham-Bennington,Progressive,State Representative
67843,2014 State Representative Progressive Primary Windham 4 District,2014,Primary,Windham 4,Progressive,State Representative
67844,2014 State Representative Progressive Primary Washington 7 District,2014,Primary,Washington 7,Progressive,State Representative
67845,2014 State Representative Progressive Primary Washington 5 District,2014,Primary,Washington 5,Progressive,State Representative
67846,2014 State Representative Progressive Primary Orleans-Lamoille District,2014,Primary,Orleans-Lamoille,Progressive,State Representative
67847,2014 State Representative Progressive Primary Lamoille-Washington District,2014,Primary,Lamoille-Washington,Progressive,State Representative
67848,2014 State Representative Progressive Primary Franklin 7 District,2014,Primary,Franklin 7,Progressive,State Representative
67849,2014 State Representative Progressive Primary Chittenden 8-1 District,2014,Primary,Chittenden 8-1,Progressive,State Representative
67850,2014 State Representative Progressive Primary Chittenden 8-2 District,2014,Primary,Chittenden 8-2,Progressive,State Representative
67851,2014 State Representative Progressive Primary Chittenden 8-3 District,2014,Primary,Chittenden 8-3,Progressive,State Representative
67852,2014 State Representative Progressive Primary Franklin 2 District,2014,Primary,Franklin 2,Progressive,State Representative
67853,2014 State Representative Progressive Primary Franklin 1 District,2014,Primary,Franklin 1,Progressive,State Representative
67854,2014 State Representative Progressive Primary Orange-Caledonia District,2014,Primary,Orange-Caledonia,Progressive,State Representative
67855,2014 State Representative Progressive Primary Windham 1 District,2014,Primary,Windham 1,Progressive,State Representative
67856,2014 State Representative Progressive Primary Windham 6 District,2014,Primary,Windham 6,Progressive,State Representative
67857,2014 State Representative Progressive Primary Caledonia 2 District,2014,Primary,Caledonia 2,Progressive,State Representative
67858,2014 State Representative Progressive Primary Windsor 4-2 District,2014,Primary,Windsor 4-2,Progressive,State Representative
67859,2014 State Representative Progressive Primary Windsor 1 District,2014,Primary,Windsor 1,Progressive,State Representative
67860,2014 State Representative Progressive Primary Chittenden 4-2 District,2014,Primary,Chittenden 4-2,Progressive,State Representative
67861,2014 State Representative Progressive Primary Rutland 1 District,2014,Primary,Rutland 1,Progressive,State Representative
67862,2014 State Representative Progressive Primary Windham-Bennington-Windsor District,2014,Primary,Windham-Bennington-Windsor,Progressive,State Representative
67863,2014 State Representative Progressive Primary Chittenden 3 District,2014,Primary,Chittenden 3,Progressive,State Representative
67864,2014 State Representative Progressive Primary Rutland-Windsor 2 District,2014,Primary,Rutland-Windsor 2,Progressive,State Representative
67865,2014 State Representative Progressive Primary Windham 5 District,2014,Primary,Windham 5,Progressive,State Representative
67866,2014 State Representative Progressive Primary Addison 1 District,2014,Primary,Addison 1,Progressive,State Representative
67867,2014 State Representative Progressive Primary Rutland-Bennington District,2014,Primary,Rutland-Bennington,Progressive,State Representative
67868,2014 State Representative Progressive Primary Chittenden 10 District,2014,Primary,Chittenden 10,Progressive,State Representative
67869,2014 State Representative Progressive Primary Washington 4 District,2014,Primary,Washington 4,Progressive,State Representative
67870,2014 State Representative Progressive Primary Windsor-Orange 2 District,2014,Primary,Windsor-Orange 2,Progressive,State Representative
67871,2014 State Representative Progressive Primary Windsor 5 District,2014,Primary,Windsor 5,Progressive,State Representative
67872,2014 State Representative Progressive Primary Bennington 1 District,2014,Primary,Bennington 1,Progressive,State Representative
67873,2014 State Representative Progressive Primary Chittenden 1 District,2014,Primary,Chittenden 1,Progressive,State Representative
67874,2014 State Representative Progressive Primary Windsor-Orange 1 District,2014,Primary,Windsor-Orange 1,Progressive,State Representative
67875,2014 State Representative Progressive Primary Rutland 5-1 District,2014,Primary,Rutland 5-1,Progressive,State Representative
67876,2014 State Representative Progressive Primary Rutland 5-2 District,2014,Primary,Rutland 5-2,Progressive,State Representative
67877,2014 State Representative Progressive Primary Rutland 5-3 District,2014,Primary,Rutland 5-3,Progressive,State Representative
67878,2014 State Representative Progressive Primary Rutland 5-4 District,2014,Primary,Rutland 5-4,Progressive,State Representative
67879,2014 State Representative Progressive Primary Rutland 4 District,2014,Primary,Rutland 4,Progressive,State Representative
67880,2014 State Representative Progressive Primary Franklin 3-1 District,2014,Primary,Franklin 3-1,Progressive,State Representative
67881,2014 State Representative Progressive Primary Franklin 3-2 District,2014,Primary,Franklin 3-2,Progressive,State Representative
67882,2014 State Representative Progressive Primary Chittenden 5-2 District,2014,Primary,Chittenden 5-2,Progressive,State Representative
67883,2014 State Representative Progressive Primary Caledonia 3 District,2014,Primary,Caledonia 3,Progressive,State Representative
67884,2014 State Representative Progressive Primary Bennington 3 District,2014,Primary,Bennington 3,Progressive,State Representative
67885,2014 State Representative Progressive Primary Chittenden 5-1 District,2014,Primary,Chittenden 5-1,Progressive,State Representative
67886,2014 State Representative Progressive Primary Franklin 4 District,2014,Primary,Franklin 4,Progressive,State Representative
67887,2014 State Representative Progressive Primary Chittenden 7-1 District,2014,Primary,Chittenden 7-1,Progressive,State Representative
67888,2014 State Representative Progressive Primary Chittenden 7-2 District,2014,Primary,Chittenden 7-2,Progressive,State Representative
67889,2014 State Representative Progressive Primary Chittenden 7-3 District,2014,Primary,Chittenden 7-3,Progressive,State Representative
67890,2014 State Representative Progressive Primary Chittenden 7-4 District,2014,Primary,Chittenden 7-4,Progressive,State Representative
67891,2014 State Representative Progressive Primary Windsor 3-2 District,2014,Primary,Windsor 3-2,Progressive,State Representative
67892,2014 State Representative Progressive Primary Lamoille 1 District,2014,Primary,Lamoille 1,Progressive,State Representative
67893,2014 State Representative Progressive Primary Chittenden 2 District,2014,Primary,Chittenden 2,Progressive,State Representative
67894,2014 State Representative Republican Primary Addison 3 District,2014,Primary,Addison 3,Republican,State Representative
67895,2014 State Representative Republican Primary Orleans-Caledonia District,2014,Primary,Orleans-Caledonia,Republican,State Representative
67896,2014 State Representative Republican Primary Grand Isle-Chittenden District,2014,Primary,Grand Isle-Chittenden,Republican,State Representative
67897,2014 State Representative Republican Primary Windsor 3-1 District,2014,Primary,Windsor 3-1,Republican,State Representative
67898,2014 State Representative Republican Primary Bennington 4 District,2014,Primary,Bennington 4,Republican,State Representative
67899,2014 State Representative Republican Primary Windham 3 District,2014,Primary,Windham 3,Republican,State Representative
67900,2014 State Representative Republican Primary Franklin 6 District,2014,Primary,Franklin 6,Republican,State Representative
67901,2014 State Representative Republican Primary Windsor 4-1 District,2014,Primary,Windsor 4-1,Republican,State Representative
67902,2014 State Representative Republican Primary Caledonia 1 District,2014,Primary,Caledonia 1,Republican,State Representative
67903,2014 State Representative Republican Primary Washington 3 District,2014,Primary,Washington 3,Republican,State Representative
67904,2014 State Representative Republican Primary Washington 2 District,2014,Primary,Washington 2,Republican,State Representative
67905,2014 State Representative Republican Primary Lamoille 2 District,2014,Primary,Lamoille 2,Republican,State Representative
67906,2014 State Representative Republican Primary Bennington 2-1 District,2014,Primary,Bennington 2-1,Republican,State Representative
67907,2014 State Representative Republican Primary Bennington 2-2 District,2014,Primary,Bennington 2-2,Republican,State Representative
67908,2014 State Representative Republican Primary Addison-Rutland District,2014,Primary,Addison-Rutland,Republican,State Representative
67909,2014 State Representative Republican Primary Franklin 5 District,2014,Primary,Franklin 5,Republican,State Representative
67910,2014 State Representative Republican Primary Washington 1 District,2014,Primary,Washington 1,Republican,State Representative
67911,2014 State Representative Republican Primary Windsor-Rutland District,2014,Primary,Windsor-Rutland,Republican,State Representative
67912,2014 State Representative Republican Primary Essex-Caledonia-Orleans District,2014,Primary,Essex-Caledonia-Orleans,Republican,State Representative
67913,2014 State Representative Republican Primary Washington-Chittenden District,2014,Primary,Washington-Chittenden,Republican,State Representative
67914,2014 State Representative Republican Primary Orange 2 District,2014,Primary,Orange 2,Republican,State Representative
67915,2014 State Representative Republican Primary Orange-Washington-Addison District,2014,Primary,Orange-Washington-Addison,Republican,State Representative
67916,2014 State Representative Republican Primary Rutland 6 District,2014,Primary,Rutland 6,Republican,State Representative
67917,2014 State Representative Republican Primary Windham 2-1 District,2014,Primary,Windham 2-1,Republican,State Representative
67918,2014 State Representative Republican Primary Windham 2-2 District,2014,Primary,Windham 2-2,Republican,State Representative
67919,2014 State Representative Republican Primary Windham 2-3 District,2014,Primary,Windham 2-3,Republican,State Representative
67920,2014 State Representative Republican Primary Rutland-Windsor 1 District,2014,Primary,Rutland-Windsor 1,Republican,State Representative
67921,2014 State Representative Republican Primary Addison 5 District,2014,Primary,Addison 5,Republican,State Representative
67922,2014 State Representative Republican Primary Addison 4 District,2014,Primary,Addison 4,Republican,State Representative
67923,2014 State Representative Republican Primary Orleans 1 District,2014,Primary,Orleans 1,Republican,State Representative
67924,2014 State Representative Republican Primary Essex-Caledonia District,2014,Primary,Essex-Caledonia,Republican,State Representative
67925,2014 State Representative Republican Primary Caledonia 4 District,2014,Primary,Caledonia 4,Republican,State Representative
67926,2014 State Representative Republican Primary Chittenden 6-1 District,2014,Primary,Chittenden 6-1,Republican,State Representative
67927,2014 State Representative Republican Primary Chittenden 6-2 District,2014,Primary,Chittenden 6-2,Republican,State Representative
67928,2014 State Representative Republican Primary Chittenden 6-3 District,2014,Primary,Chittenden 6-3,Republican,State Representative
67929,2014 State Representative Republican Primary Chittenden 6-4 District,2014,Primary,Chittenden 6-4,Republican,State Representative
67930,2014 State Representative Republican Primary Chittenden 6-5 District,2014,Primary,Chittenden 6-5,Republican,State Representative
67931,2014 State Representative Republican Primary Chittenden 6-6 District,2014,Primary,Chittenden 6-6,Republican,State Representative
67932,2014 State Representative Republican Primary Chittenden 6-7 District,2014,Primary,Chittenden 6-7,Republican,State Representative
67933,2014 State Representative Republican Primary Caledonia-Washington District,2014,Primary,Caledonia-Washington,Republican,State Representative
67934,2014 State Representative Republican Primary Washington 6 District,2014,Primary,Washington 6,Republican,State Representative
67935,2014 State Representative Republican Primary Lamoille 3 District,2014,Primary,Lamoille 3,Republican,State Representative
67936,2014 State Representative Republican Primary Rutland 3 District,2014,Primary,Rutland 3,Republican,State Representative
67937,2014 State Representative Republican Primary Windsor 2 District,2014,Primary,Windsor 2,Republican,State Representative
67938,2014 State Representative Republican Primary Chittenden 4-1 District,2014,Primary,Chittenden 4-1,Republican,State Representative
67939,2014 State Representative Republican Primary Orange 1 District,2014,Primary,Orange 1,Republican,State Representative
67940,2014 State Representative Republican Primary Rutland 2 District,2014,Primary,Rutland 2,Republican,State Representative
67941,2014 State Representative Republican Primary Chittenden 9-1 District,2014,Primary,Chittenden 9-1,Republican,State Representative
67942,2014 State Representative Republican Primary Chittenden 9-2 District,2014,Primary,Chittenden 9-2,Republican,State Representative
67943,2014 State Representative Republican Primary Addison 2 District,2014,Primary,Addison 2,Republican,State Representative
67944,2014 State Representative Republican Primary Orleans 2 District,2014,Primary,Orleans 2,Republican,State Representative
67945,2014 State Representative Republican Primary Bennington-Rutland District,2014,Primary,Bennington-Rutland,Republican,State Representative
67946,2014 State Representative Republican Primary Windham-Bennington District,2014,Primary,Windham-Bennington,Republican,State Representative
67947,2014 State Representative Republican Primary Windham 4 District,2014,Primary,Windham 4,Republican,State Representative
67948,2014 State Representative Republican Primary Washington 7 District,2014,Primary,Washington 7,Republican,State Representative
67949,2014 State Representative Republican Primary Washington 5 District,2014,Primary,Washington 5,Republican,State Representative
67950,2014 State Representative Republican Primary Orleans-Lamoille District,2014,Primary,Orleans-Lamoille,Republican,State Representative
67951,2014 State Representative Republican Primary Lamoille-Washington District,2014,Primary,Lamoille-Washington,Republican,State Representative
67952,2014 State Representative Republican Primary Franklin 7 District,2014,Primary,Franklin 7,Republican,State Representative
67953,2014 State Representative Republican Primary Chittenden 8-1 District,2014,Primary,Chittenden 8-1,Republican,State Representative
67954,2014 State Representative Republican Primary Chittenden 8-2 District,2014,Primary,Chittenden 8-2,Republican,State Representative
67955,2014 State Representative Republican Primary Chittenden 8-3 District,2014,Primary,Chittenden 8-3,Republican,State Representative
67956,2014 State Representative Republican Primary Franklin 2 District,2014,Primary,Franklin 2,Republican,State Representative
67957,2014 State Representative Republican Primary Franklin 1 District,2014,Primary,Franklin 1,Republican,State Representative
67958,2014 State Representative Republican Primary Orange-Caledonia District,2014,Primary,Orange-Caledonia,Republican,State Representative
67959,2014 State Representative Republican Primary Windham 1 District,2014,Primary,Windham 1,Republican,State Representative
67960,2014 State Representative Republican Primary Windham 6 District,2014,Primary,Windham 6,Republican,State Representative
67961,2014 State Representative Republican Primary Caledonia 2 District,2014,Primary,Caledonia 2,Republican,State Representative
67962,2014 State Representative Republican Primary Windsor 4-2 District,2014,Primary,Windsor 4-2,Republican,State Representative
67963,2014 State Representative Republican Primary Windsor 1 District,2014,Primary,Windsor 1,Republican,State Representative
67964,2014 State Representative Republican Primary Chittenden 4-2 District,2014,Primary,Chittenden 4-2,Republican,State Representative
67965,2014 State Representative Republican Primary Rutland 1 District,2014,Primary,Rutland 1,Republican,State Representative
67966,2014 State Representative Republican Primary Windham-Bennington-Windsor District,2014,Primary,Windham-Bennington-Windsor,Republican,State Representative
67967,2014 State Representative Republican Primary Chittenden 3 District,2014,Primary,Chittenden 3,Republican,State Representative
67968,2014 State Representative Republican Primary Rutland-Windsor 2 District,2014,Primary,Rutland-Windsor 2,Republican,State Representative
67969,2014 State Representative Republican Primary Windham 5 District,2014,Primary,Windham 5,Republican,State Representative
67970,2014 State Representative Republican Primary Addison 1 District,2014,Primary,Addison 1,Republican,State Representative
67971,2014 State Representative Republican Primary Rutland-Bennington District,2014,Primary,Rutland-Bennington,Republican,State Representative
67972,2014 State Representative Republican Primary Chittenden 10 District,2014,Primary,Chittenden 10,Republican,State Representative
67973,2014 State Representative Republican Primary Washington 4 District,2014,Primary,Washington 4,Republican,State Representative
67974,2014 State Representative Republican Primary Windsor-Orange 2 District,2014,Primary,Windsor-Orange 2,Republican,State Representative
67975,2014 State Representative Republican Primary Windsor 5 District,2014,Primary,Windsor 5,Republican,State Representative
67976,2014 State Representative Republican Primary Bennington 1 District,2014,Primary,Bennington 1,Republican,State Representative
67977,2014 State Representative Republican Primary Chittenden 1 District,2014,Primary,Chittenden 1,Republican,State Representative
67978,2014 State Representative Republican Primary Windsor-Orange 1 District,2014,Primary,Windsor-Orange 1,Republican,State Representative
67979,2014 State Representative Republican Primary Rutland 5-1 District,2014,Primary,Rutland 5-1,Republican,State Representative
67980,2014 State Representative Republican Primary Rutland 5-2 District,2014,Primary,Rutland 5-2,Republican,State Representative
67981,2014 State Representative Republican Primary Rutland 5-3 District,2014,Primary,Rutland 5-3,Republican,State Representative
67982,2014 State Representative Republican Primary Rutland 5-4 District,2014,Primary,Rutland 5-4,Republican,State Representative
67983,2014 State Representative Republican Primary Rutland 4 District,2014,Primary,Rutland 4,Republican,State Representative
67984,2014 State Representative Republican Primary Franklin 3-1 District,2014,Primary,Franklin 3-1,Republican,State Representative
67985,2014 State Representative Republican Primary Franklin 3-2 District,2014,Primary,Franklin 3-2,Republican,State Representative
67986,2014 State Representative Republican Primary Chittenden 5-2 District,2014,Primary,Chittenden 5-2,Republican,State Representative
67987,2014 State Representative Republican Primary Caledonia 3 District,2014,Primary,Caledonia 3,Republican,State Representative
67988,2014 State Representative Republican Primary Bennington 3 District,2014,Primary,Bennington 3,Republican,State Representative
67989,2014 State Representative Republican Primary Chittenden 5-1 District,2014,Primary,Chittenden 5-1,Republican,State Representative
67990,2014 State Representative Republican Primary Franklin 4 District,2014,Primary,Franklin 4,Republican,State Representative
67991,2014 State Representative Republican Primary Chittenden 7-1 District,2014,Primary,Chittenden 7-1,Republican,State Representative
67992,2014 State Representative Republican Primary Chittenden 7-2 District,2014,Primary,Chittenden 7-2,Republican,State Representative
67993,2014 State Representative Republican Primary Chittenden 7-3 District,2014,Primary,Chittenden 7-3,Republican,State Representative
67994,2014 State Representative Republican Primary Chittenden 7-4 District,2014,Primary,Chittenden 7-4,Republican,State Representative
67995,2014 State Representative Republican Primary Windsor 3-2 District,2014,Primary,Windsor 3-2,Republican,State Representative
67996,2014 State Representative Republican Primary Lamoille 1 District,2014,Primary,Lamoille 1,Republican,State Representative
67997,2014 State Representative Republican Primary Chittenden 2 District,2014,Primary,Chittenden 2,Republican,State Representative
67998,2014 State Senator Democratic Primary Addison District,2014,Primary,Addison,Democratic,State Senator
67999,2014 State Senator Democratic Primary Essex-Orleans District,2014,Primary,Essex-Orleans,Democratic,State Senator
68000,2014 State Senator Democratic Primary Franklin District,2014,Primary,Franklin,Democratic,State Senator
68001,2014 State Senator Democratic Primary Windsor District,2014,Primary,Windsor,Democratic,State Senator
68002,2014 State Senator Democratic Primary Bennington District,2014,Primary,Bennington,Democratic,State Senator
68003,2014 State Senator Democratic Primary Windham District,2014,Primary,Windham,Democratic,State Senator
68004,2014 State Senator Democratic Primary Caledonia District,2014,Primary,Caledonia,Democratic,State Senator
68005,2014 State Senator Democratic Primary Washington District,2014,Primary,Washington,Democratic,State Senator
68006,2014 State Senator Democratic Primary Lamoille District,2014,Primary,Lamoille,Democratic,State Senator
68007,2014 State Senator Democratic Primary Rutland District,2014,Primary,Rutland,Democratic,State Senator
68008,2014 State Senator Democratic Primary Chittenden District,2014,Primary,Chittenden,Democratic,State Senator
68009,2014 State Senator Democratic Primary Orange District,2014,Primary,Orange,Democratic,State Senator
68010,2014 State Senator Democratic Primary Grand Isle District,2014,Primary,Grand Isle,Democratic,State Senator
68011,2014 State Senator Liberty Union Primary Addison District,2014,Primary,Addison,Liberty Union,State Senator
68012,2014 State Senator Liberty Union Primary Essex-Orleans District,2014,Primary,Essex-Orleans,Liberty Union,State Senator
68013,2014 State Senator Liberty Union Primary Franklin District,2014,Primary,Franklin,Liberty Union,State Senator
68014,2014 State Senator Liberty Union Primary Windsor District,2014,Primary,Windsor,Liberty Union,State Senator
68015,2014 State Senator Liberty Union Primary Bennington District,2014,Primary,Bennington,Liberty Union,State Senator
68016,2014 State Senator Liberty Union Primary Windham District,2014,Primary,Windham,Liberty Union,State Senator
68017,2014 State Senator Liberty Union Primary Caledonia District,2014,Primary,Caledonia,Liberty Union,State Senator
68018,2014 State Senator Liberty Union Primary Washington District,2014,Primary,Washington,Liberty Union,State Senator
68019,2014 State Senator Liberty Union Primary Lamoille District,2014,Primary,Lamoille,Liberty Union,State Senator
68020,2014 State Senator Liberty Union Primary Rutland District,2014,Primary,Rutland,Liberty Union,State Senator
68021,2014 State Senator Liberty Union Primary Chittenden District,2014,Primary,Chittenden,Liberty Union,State Senator
68022,2014 State Senator Liberty Union Primary Orange District,2014,Primary,Orange,Liberty Union,State Senator
